	identifier_omeka,item - public,item - featured,dateQualifier,digitalOrigin,physicalLocation,languageOfCataloging,keyDate_start,form,relatedItem_collection,shelfLocator,place,place 2,note,dateCreated,title,name_primary,language,dateCreated 2,source,abstract,subject_topic,publisher,relatedItem_[host?]/[series?],	identifier_clio,note_filename,subject_temporal,typeOfResource,	relatedItem_Project
2804,1,0,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1964-02,pamphlets,"Group Research, Inc. records","Box 247, Folder: ""National States Rights Party - Newsletters""",,,,,"Personal Newsletter, page 2",National States Rights Party (U.S.) ,English,February 1964,,At bottom of page: 'Vote Right - Vote White - Vote States Rights',,National States Rights Party (U.S.),,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028010,1964-02 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2803,1,0,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1970,printed ephemera,"Group Research, Inc. records","Box 246, Folder: ""National States Rights Party--Misc. materials distributed""",,,,,"DEATH! to the Traitors, front",Sam Adams Committee of Public Safety,English,circa 1970,,,,Sam Adams Committee of Public Safety,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028009,,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2802,1,0,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1975-09,periodicals,"Group Research, Inc. records","Box 218, Folder: ""Men's Rights Association""",,,,1975-09,"Liberator National Newsletter, Volume 1, Number 1, front page and detail of illustration on front page",Men's Rights Assoc.,English,September 1975,,,,Men's Rights Assoc.,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028008|group_research_100028007.jpg,1975-09 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2801,1,0,,,,,,,,,,,,,"The Liberator, Volume 1, Number 1 (full)",Men's Rights Association,,,"Columbia University, Rare Book and Manuscript Library|Group Research, Inc. Records, Box 218, Folder: ""Men's Rights Association""",,,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028007,1975-09 ,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2800,1,0,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1967-10,pamphlets,"Group Research, Inc. records","Box 218, Folder: ""Mel-Belle Enterprises""",,,,,"What Kind of a Country Are You Leaving Me?, front cover",Mel-Belle Enterprises,English,circa October 1967,,,,Mel-Belle Enterprises,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028006,,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2799,1,0,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1988 1999,printed ephemera,"Group Research, Inc. records","Box 218, Folder: ""Media Research Center""",Alexandria (Va.),,,,"3 Good Reasons to Read MediaWatch, front","Media Research Center|Payne, H.",English,circa 1988-1999,,Illustration by 'H. Payne',,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028005,,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2798,1,0,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1955 1979,printed ephemera,"Group Research, Inc. records","Box 76, Folder: ""Citizens' Councils--Their Material""",Greenwood (Miss.),,,,"Famous Quotations: Theodore G. Bilbo, front",Citizens’ Councils of America,eng,circa 1955-1970s,,Includes a quote by Theodore G. Bilbo,,,Take Your Choice: Separation or Mongrelization / Theodore G. Bilbo,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028004,,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2797,1,0,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1972-06,pamphlets,"Group Research, Inc. records","Box 76, Folder: ""Citizens' Councils--Their Material""",Jackson (Miss.),,,,Crime: Don't Let it Happen!,Citizens' Councils of America,English,circa June 1972,,,,Citizen's Councils of America,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028003,,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2796,1,0,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1969,printed ephemera,"Group Research, Inc. records","Box 76, Folder: ""Citizens' Councils--Their Material""",Dallas (Tex.),,,,"Worst Horror on Earth, front","Citizens' Councils of America|Citizens' Council of Dallas County, Inc.",English,circa 1969,,,,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028002,,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
2795,1,0,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",English,1990,printed ephemera,"Group Research, Inc. records","Box 1, Folder: ""Accuracy in Media, 1986--""",Washington (D.C.),,,,"AIM Speakers Bureau, unfolded interior","Allied Educational Foundation Speakers Bureau|Accuracy in Media, inc.",English,circa 1990,,,"Baron, Murray|Wiley, Charles|Goulden, Joseph|Kincaid, Cliff|Droge, Dolf|Yoh, Bernard|Irvine, Reed",,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=group_research_100028001,,Still Image,Choosing Sides: Right Wing Icons in the Group Research Records
