relatedItem_collection,name_primary,name_primary_type,name_primaryRelator,name_primaryRelator_authority,name_primaryRelator_authority_identifier,name_primary_authority,name_primary_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,language,location_url_ObjectInContext,physicalLocation,note,note_filename 1,note_filename 2,digitalOrigin,form,form_originalFormat,place,relatedItem_Project,languageOfCataloging,subject_topic 1,subject_topic 2,subject_topic 3,title
Spanish children's drawings of the Civil War collection,"Garcia, Roberto",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 9
|Colony: Masarrochos",0,1,Drawing no: 114,8200,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/e_g/garcia_r,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 114.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/114.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Around My Town|Alrededores del Pueblo  
Spanish children's drawings of the Civil War collection,"Expósito, Manolo",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11
|Colony: Masarrochos",0,1,Drawing no: 113,8199,,https://exhibitions.cul.columbia.edu/exhibits/show/children/espanol/inicio,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 113.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/113.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",The ambulance picking up the wounded|La ambulancia recogiendo heridos  
Spanish children's drawings of the Civil War collection,"Montalban, Amparito",,,,,,,1937-12,,,"December, 1937","Age 9
|Colony: Alcira|On the reverse:  ""Alcira, Dbre 1937""",0,1,Drawing no: 112,8198,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/montalban,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 112.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/112.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Military hospital|Hospital Militar  
Spanish children's drawings of the Civil War collection,"Varona, Daniel",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 9
|Colony: Colonia Escolar no. 2, Residencia Infantil No. 38, Torrente, Spain",0,1,Drawing no: 111,8197,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/varona,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 111.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/111.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Battle ensues|Resurta un conbate 
Spanish children's drawings of the Civil War collection,"Moreno, Manuel",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13
|Origin: Madrid|Colony: Valencia",0,1,Drawing no: 110,8196,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/moreno_manuel,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 110.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/110.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Obuses sobre Madrid.
Spanish children's drawings of the Civil War collection,"Moreno, Manolo",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13

|Origin: Madrid|Colony: Valencia",0,1,Drawing no: 109,8195,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/moreno_manolo,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 109.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/109.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Road to Valencia|Camino de Valencia 
Spanish children's drawings of the Civil War collection,"Ancina, Moises",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13
|Colony: San Juan, Alicante. Residencia Infantil no. 6",0,1,Drawing no: 108,8194,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/alicante,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 108.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/108.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Hydroplane flying over ships
Spanish children's drawings of the Civil War collection,"Sanchez del Amo, Felix",,,,,,,1936-11-25,,,"November 25, 1936","Age 14
|Colony: Escuela Hogar, Antella, Spain|Dated November 25, 1936|Stamp:  Ministerio de Instrucción Pública.",0,1,Drawing no: 107,8193,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/sanchez_del_amo,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 107.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/107.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",War|Guerra 
Spanish children's drawings of the Civil War collection,"Moños, Alberto",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 7
|Colony: Colonia Escolar Colectiva, Burriana, Spain",0,1,Drawing no: 106,8192,,https://exhibitions.cul.columbia.edu/exhibits/show/children/collection,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 106.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/106.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Combat between two tanks and airplanes
Spanish children's drawings of the Civil War collection,"Benito, Angeles",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 14
|Origin: San Sebastián|Colony:  Colonia infantil, Bayonne, France",0,1,Drawing no: 105,8191,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/a_b/benito,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 105.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/105.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",In this drawing I have shown my evacuation from San Sebastian to France.|En este dibujo he representado mi evacuación desde S. Sebastián a Francia 
Spanish children's drawings of the Civil War collection,"Saes Canoira, Dolores",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony:  Centro Español, Cerbère, France ",0,1,Drawing no: 104,8190,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/saes,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 104.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/104.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows the school and girls playing jump-rope during recess and five boys playing ball and a girl in the doorway of the school.|Este dibujo representa  el colegio y niñas jugando en el recreo a la cuerda y dos niños juando a la pelota y una niña en la puerda del colegio.  
Spanish children's drawings of the Civil War collection,"Casado Gauderats, Pepita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony: Colonia Familiar, Grupo Alfredo Calderón de Madrid, Chirivella, Spain|Stamp: Consejo municipal. Chirivella.",0,1,Drawing no: 103,8189,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/c_d/casado_gauderats,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 103.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/103.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Laborer|Un Labrador 
Spanish children's drawings of the Civil War collection,"Casado Gauderats, Pepita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony: Colonia Familiar, Grupo Alfredo Calderón de Madrid, Chirivella, Spain",0,1,Drawing no: 102,8188,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/c_d/casado_gauderats,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 102.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/102.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","Drawing with people, vehicles, and buildings"
Spanish children's drawings of the Civil War collection,"Garcia, Fernando",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11
|Colony: Colonia Pablo Iglesias, Godella, Spain",0,1,Drawing no: 101,8187,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/e_g/garcia,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 101.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/101.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","Mountains on the Manzanares River.  Fernando Garcia of the Graphic Arts Colony at Godella in the San Mauro farmhouse.  Leaving Madrid in the ""Pablo Iglesias"" group which evacuated to Godella, Valencia.|Monte del rio Manzanares.  Fernando Garciaa de la Colonia de Artes Graficos sita en Godella en la Masía de San Mauro.  Evacuando de Madrid en la Colonia de Pablo Iglesias sita en Godella (Valencia).  "
Spanish children's drawings of the Civil War collection,"Riera, Esther",,,,,,,1937-12-13,,,"December 13, 1937","Colony: Colonia El Bosque, El Palmar, Spain|Origin: Asturias|Dated: ""Dia 13 de Diciembre de 1937.""  |Stamp: Guaraderia infantil de guerra ""El Bosque."" Palmar (Murcia).",0,1,Drawing no: 100,8186,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/murcia,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 100.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/100.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Free drawing: my house in Asturias.|Dibujo libre:  Mi casa de Asturias  
Spanish children's drawings of the Civil War collection,"Ferrer Ferrer, Maria",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13
|Colony:  Centro Español, Cerbère, France.",0,1,Drawing no: 99,8185,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/e_g/ferrer,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 99.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/99.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This scene shows the boys and girls at play-time and we played jump-rope.|Esta escena representa los niños y niñas en el recreo y jugabamos a cuerda.  
Spanish children's drawings of the Civil War collection,"Solé de Maciá, Jorge",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 10
|Colony: Centro Español,  Cerbère, France |On the station wall: ""Estación Figueras"" (Figueras Station)",0,1,Drawing no: 98,8184,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/sole,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 98.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/98.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","This scene shows the departure from my town, being evacuated to Cerbère.|Esta escena representa la salida de mi pueblo par ir a Cerbère y ser ebacuados.  "
Spanish children's drawings of the Civil War collection,"Arjonilla, Pilar",,,,,,,1937-10-10,,,"November 10, 1937","Age 8
|Colony: Oliva, Spain|Dated November 10, 1937|Origin: Burgos",0,1,Drawing no: 97,8183,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/a_b/arjonilla,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 97.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/97.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Around the Colony.|Alrededores de la Colonia 
Spanish children's drawings of the Civil War collection,"Alonso, Pepa",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony: Colonia #40, Oliva, Spain",0,1,Drawing no: 96,8182,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/a_b/alonso,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 96.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/96.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Life in the Colony.|La vida en la Colonia.  
Spanish children's drawings of the Civil War collection,"Blanch Manero, Pepita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11
|Colony: Centro Español, Cerbère, France",0,1,Drawing no: 95,8181,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere1,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 95.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/95.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","This drawing shows my mother, my father, me and my sister, and an aunt of mine on the way to Cerbère on the day of the evacuation.|Este dibujo  representa mi mamá mi papá yo y mi hermana y una tia mia que nos bamos en Cervere el dia de la evacuación.  "
Spanish children's drawings of the Civil War collection,"Blanch Manero, Pepita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11
|Colony:  Centro Español, Cerbère, France|On facade:  BOUCHERIE MODERNE P. ROMEU",0,1,Drawing no: 94,8180,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere1,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 94.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/94.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows play-time in the plaza of Cerbère when my friends and I are skipping rope.|Este dibujo representa hora del recreo en la plaza de Cervere que estamos jugando yo com mis amigas a cuerda.  
Spanish children's drawings of the Civil War collection,"Cabezón Camarero, Domiciana",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 93,8179,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere1,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 93.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/93.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows the girls at play skipping rope.|Este dibujo representa las niñas en el recreo jugando a la cuerda.  
Spanish children's drawings of the Civil War collection,"Cabezon Camarero, Domiciana",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 12
|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 92,8178,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere1,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 92.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/92.jpg,92v.jpg,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing is a house next to the school and there are also some girls skipping rope.|Este dibujo es una casa que ta alao de la escuela y tambien hay unas niñas jugando a cuerda.  
Spanish children's drawings of the Civil War collection,"Del Rincon Pale, Pedro",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13
|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 91,8177,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere1,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 91.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/91.jpg,91v.jpg,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","This drawing shows the day of my evacuation, going through the French customs, and the customs-guard is searching our bags.|Este dibujo representa el dia de mi evacuación, pasando por la doanilla francesca, y el carabinero nos esta mirando los copazos. "
Spanish children's drawings of the Civil War collection,"Sanchez Yaguez, Manuel",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 8
|Origin: Madrid|Colony: Colonia Familiar, Grupo Alfredo Calderón de Madrid,
Chirivella, Spain|Stamp on back: Consejo municipal Chirivella.",0,1,Drawing no: 90,8176,eng,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/sanchez_yaguez,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 90.tif,Boys.jpg,90v.jpg,rd,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Playing with the boys|Jugando con los chicos  
Spanish children's drawings of the Civil War collection,"Verdaguer Fierraro, Juan",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11
|Origin: Port-Bou|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 89,8175,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/verdaguer_fierraro,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 89.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/89.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows an evacuation from Port-Bou.|Este dibujo representa una abecuación de Port-Bou.  
Spanish children's drawings of the Civil War collection,"Verdaguer, Juan",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 11
|Origin: Port-Bou|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 88,8174,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/verdaguer,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 88.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/88.jpg,88v.jpg,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows farmers cultivating the land.|Este dibujo represen los payeces cultivando la tierra.  
Spanish children's drawings of the Civil War collection,"Clua Ferrer, Domingo",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13
|Origin: Port-Bou|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 87,8173,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere1,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 87.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/87.jpg,87v.jpg,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows when I left Port-Bou and came to Cerbère to find a refuge.  A woman that my sister works for looks for a house to live in there because there is shooting in Port-Bou and powerful bombardments.|Este dibujo representa cuando me fui de Port-Bou que beni a serbere a buscar casa (Este d) para refugiarme aqui.  Una mujer que mi erhmana trabajaba fui aber si le dejaban una casa para bivir alli por que en porbou tiraban y ha a barbadeos muy fuertes.  
Spanish children's drawings of the Civil War collection,"Mollol, Marino",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 9
|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 86,8172,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/mollol,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 86.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/86.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Tunnel to France
Spanish children's drawings of the Civil War collection,"Ribas, Angelita",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 9
|Colony: Centro Español, Cerbère, France ",0,1,Drawing no: 85,8171,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/p_r/ribas_a,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 85.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/85.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Train tracks and tunnel
Spanish children's drawings of the Civil War collection,"Serrano Lopez, Maria",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 8
|Colony:  Colonia de Lobosillo|Stamp:  Guarderia Infantil de guerra trabajadores de la enseñanza (Children's War Colony ""Workers of Education"")",0,1,Drawing no: 84,8170,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/murcia,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 84.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/84.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Drawing of children playing
Spanish children's drawings of the Civil War collection,"Hernandez Amigo, Ramón",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 13
|Colony:  Centro Español, Cerbère, France",0,1,Drawing no: 83,8169,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/h_n/hernandez_amigo,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 83_800.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/83_800.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",This drawing shows our evacuation.  Ahead of us is the family that invited us to get into their car.|Este dibujo representa nuestra evacuación.  Delante de nosotros van otra familia que es la que nos invitó a subir en el auto.  
Spanish children's drawings of the Civil War collection,"Sanchez, Antonio",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 7
|Colony: Residencia Infantil #6, San Juan de Alicante, Spain",0,1,Drawing no: 82,8168,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/alicante,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 82.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/82.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",War Scene|Escena de guerra 
Spanish children's drawings of the Civil War collection,"Matarranz, Fernando",,,,,,,1937,1938,inferred,1937-1938,"Colony: La Pineda|Dated ""curso 1937-1938""",0,1,Drawing no: 81,8167,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/catalonia,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 81.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/81.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",The Crash|La Caida 
Spanish children's drawings of the Civil War collection,"Salvador Sanchez, Maria Rosario",,,,,,,1936-01-24,,,"January 24, 1936","Age 14|Dated January 24, 1936",0,1,Drawing no: 80,8166,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/salvador,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 80.tif,spanchldrndrwings_80.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works","Airplane combat over a small town, including plane in flames and parachute"
Spanish children's drawings of the Civil War collection,"Sanchez, Salvador, ",,,,,,,1938-01-22,,,"January 22, 1938","Age 12
|Colony: Valencia|Depicts an ambulance driving between tanks.| Dated January 22, 1938",0,1,Drawing no: 79,8165,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/sanchez_s,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 79.tif,79.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Desamparados 
Spanish children's drawings of the Civil War collection,"Gonzalez Escrivá, Jose",,,,,,,1936 1939,,inferred,between 1936 and 1939,Age 14,0,1,Drawing no: 78,8164,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/unknown,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 78.tif,spanchldrndrwings_78.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",War Scene|Escena de Guerra 
Spanish children's drawings of the Civil War collection,"Puertas, Jose",,,,,,,1938-01,,,"January, 1938","Age 14
|Colony: Valencia|Dated January 1938",0,1,Drawing no: 77,8163,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/p_r/puertas,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 77.tif,77.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Hurricane in Flight|Un hurrican en vuelo 
Spanish children's drawings of the Civil War collection,"Puertas, José",,,,,,,1938-01,,,"January, 1938","Age 14
|Colony: Valencia|Dated January 1938",0,1,Drawing no: 76,8162,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/p_r/puertas,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 76.tif,76.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Doubla en vuelo
Spanish children's drawings of the Civil War collection,"Prat Ocariz, Antonio",,,,,,,1936 1939,,inferred,between 1936 and 1939,"Age 14
|Colony:  Mas-Eloi, France|Mas-Eloi was a Spanish children's colony in France.  |Signs on the doors say Panaderia (bakery) and carnicería (butcher shop).",0,1,Drawing no: 75,8161,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/limousin,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 75.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/75.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",War scene.  Lines to get food.|Una escena de la guerra.  Las colas para recoger los comestibles.  
Spanish children's drawings of the Civil War collection,"Santiago, Luis",,,,,,,1938,,,1938,Colony: Valencia,0,1,Drawing no: 74,8160,,https://exhibitions.cul.columbia.edu/exhibits/show/children/name/s_v/santiago,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 74.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/74.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Drawing dated January 1938
Spanish children's drawings of the Civil War collection,"Gomez, Juan",,,,,,,1937,1938,inferred,1937-1938,"Colony: Instituto Nacional Lope de Vega, Madrid|Dated 2o año, curso 1937-8",0,1,Drawing no: 73,8159,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/madrid,"Avery Architectural & Fine Arts Library, Columbia University",original filename: 73_800.tif,http://ldpd.cul.columbia.edu/spanchldrndrwings/73_800.jpg,,,drawings,Still Image,,Children's Drawings of the Spanish Civil War,eng,War in art,Children's drawings--Spain,"Spain--History--Civil War, 1936-1939--Pictorial works",Aerial Combat|Combate de Aviación 
