_identifiers-1,_digital_object_type.string_key,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,note-1:note_value,note-1:note_type,clio_identifier-1:clio_identifier_value,omeka_identifier-1:omeka_identifier_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,object_in_context_url-1:object_in_context_url_value,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,note-4:note_value,note-4:note_type,digital_origin-1:digital_origin_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,note-5:note_value,note-5:note_type,place_of_origin-1:place_of_origin_value,place_authority_identifier,relatedItem_Project,projectURL,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,title-1:title_sort_portion,title_type,title-1:title_non_sort_portion,title-2:title_sort_portion,title-2:title_non_sort_portion
childrensdrawings_guc_000,asset,childrensdrawings_guc,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8175,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere4,,,,,89.tif,filename,89.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,This Drawing Shows An Evacuation From Port-bou.,translated,,Este Dibujo Representa Una Abecuación De Port-bou.  ,
childrensdrawings_gvc,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Pascual Valladolid, Maria",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 13. Child's Age: 14. Depicts interior scene with woman at sewing machine. Stamp: Guarderan infantil de guerra ""Trabajadores de la enseñanza"" V.G.T.. Colony: Colonia Lobosillo, Lobosillo, Spain.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Murcia (Spain : Region),http://id.loc.gov/authorities/names/n82129542,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Drawing Of A Woman Sewing,,,,
childrensdrawings_gvc_000,asset,childrensdrawings_gvc,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8099,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/murcia,,,,,13.tif,filename,13.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Drawing Of A Woman Sewing,,,,
childrensdrawings_gza,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Duran Rumbau, María",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 30. Child's Age: 12. On facades:  BOUCHERI, TABAC. Colony: Centro Español, Cerbère, France.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Cerbère (France),http://id.loc.gov/authorities/names/n96051285,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,This Drawing Shows Boys Playing Ball In Front Of The Plaza Of Cerbère;  I Am Playing With My Friends.,translated,,"Este  Dibujo Representa Delante De La Plaza De Cerbèra Niños Que Gugan Con La Pelota, Yo Con Mis Amigas Estamos Jugando.  ",
childrensdrawings_gza_000,asset,childrensdrawings_gza,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8116,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere2,,,,,30.tif,filename,30.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,This Drawing Shows Boys Playing Ball In Front Of The Plaza Of Cerbère;  I Am Playing With My Friends.,translated,,"Este  Dibujo Representa Delante De La Plaza De Cerbèra Niños Que Gugan Con La Pelota, Yo Con Mis Amigas Estamos Jugando.  ",
childrensdrawings_hav,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Acín, Asunción",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 23. Child's Age: 9. Colony: Colonia Escolar, Estadilla, Spain.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Estadilla (Spain),http://id.loc.gov/authorities/names/n88056913,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Keeping A Sick Girl Company.,translated,,Yciendole Compañia A Una Nena Questa Enferma.  ,
childrensdrawings_hav_000,asset,childrensdrawings_hav,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8109,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/huesca,,,,,23.tif,filename,23.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Keeping A Sick Girl Company.,translated,,Yciendole Compañia A Una Nena Questa Enferma.  ,
childrensdrawings_hkf,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Perez Agudo, Angel",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 58. Child's Age: 12. Depicts 3 airplanes (moscas) over a bridge. Colony: Colonia de la Ermita, Villarreal, Spain.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,"Villarreal (Castellón, Spain)",http://id.loc.gov/authorities/names/n86037793,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Drawing Of Three Airplanes,,,,
childrensdrawings_hkf_000,asset,childrensdrawings_hkf,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8144,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/castellon,,,,,58.tif,filename,58.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Drawing Of Three Airplanes,,,,
childrensdrawings_hpi,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Sanchez Bustos, Francisco",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 145. Child's Age: 16. Colony: Residencia Infantil #3, Villajoyosa, Spain.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Villajoyosa (Spain),http://id.loc.gov/authorities/names/n79025486,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Town Plaza,translated,,Plaza De La Villa  ,La
childrensdrawings_hpi_000,asset,childrensdrawings_hpi,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8230,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/alicante,,,,,145.tif,filename,145.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Town Plaza,translated,,Plaza De La Villa  ,La
childrensdrawings_hvx,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Piña Peres, Gonzalo",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 51. Child's Age: 12. Colony: Centro Español, Cerbère, France.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Cerbère (France),http://id.loc.gov/authorities/names/n96051285,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,This House Is Shown At The Side Of The Tunnel And The Train When I Left With A Train.,translated,,Esta Casa Representa En El Lado Del Tunel  Y El Tren Cuando Marchaba Con Un Tren.  ,
childrensdrawings_hvx_000,asset,childrensdrawings_hvx,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8137,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere2,,,,,51.tif,filename,51.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,This House Is Shown At The Side Of The Tunnel And The Train When I Left With A Train.,translated,,Esta Casa Representa En El Lado Del Tunel  Y El Tren Cuando Marchaba Con Un Tren.  ,
childrensdrawings_hwk,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Solé de Maciá, Jorge",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 98. Child's Age: 10. Colony: Centro Español,  Cerbère, France. On the station wall: ""Estación Figueras"" (Figueras Station).",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Cerbère (France),http://id.loc.gov/authorities/names/n96051285,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,"This Scene Shows The Departure From My Town, Being Evacuated To Cerbère.",translated,,Esta Escena Representa La Salida De Mi Pueblo Par Ir A Cerbère Y Ser Ebacuados.  ,
childrensdrawings_hwk_000,asset,childrensdrawings_hwk,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8184,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere3,,,,,98.tif,filename,98.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,"This Scene Shows The Departure From My Town, Being Evacuated To Cerbère.",translated,,Esta Escena Representa La Salida De Mi Pueblo Par Ir A Cerbère Y Ser Ebacuados.  ,
childrensdrawings_igk,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Blanch Manero, Pepita",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 95. Child's Age: 11. Colony: Centro Español, Cerbère, France.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Cerbère (France),http://id.loc.gov/authorities/names/n96051285,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,"This Drawing Shows My Mother, My Father, Me And My Sister, And An Aunt Of Mine On The Way To Cerbère On The Day Of The Evacuation.",translated,,Este Dibujo  Representa Mi Mamá Mi Papá Yo Y Mi Hermana Y Una Tia Mia Que Nos Bamos En Cervere El Dia De La Evacuación.  ,
childrensdrawings_igk_000,asset,childrensdrawings_igk,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8181,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere1,,,,,95.tif,filename,95.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,"This Drawing Shows My Mother, My Father, Me And My Sister, And An Aunt Of Mine On The Way To Cerbère On The Day Of The Evacuation.",translated,,Este Dibujo  Representa Mi Mamá Mi Papá Yo Y Mi Hermana Y Una Tia Mia Que Nos Bamos En Cervere El Dia De La Evacuación.  ,
childrensdrawings_igs,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Francisco, Concepción",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1938-01,,,"January, 1938",Drawing no: 65. Child's Age: 12. Drawing inscribed: Valencia Enero 1938.,,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Tanks And Bombers,,,,
childrensdrawings_igs_000,asset,childrensdrawings_igs,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8151,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_1,,,,,65.tif,filename,spanchldrndrwings_65.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Tanks And Bombers,,,,
childrensdrawings_ijm,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Garcia, Roberto",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,Drawing no: 114. Child's Age: 9. Colony: Masarrochos.,Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Around My Town,translated,,Alrededores Del Pueblo  ,
childrensdrawings_ijm_000,asset,childrensdrawings_ijm,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8200,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_2,,,,,114.tif,filename,114.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Around My Town,translated,,Alrededores Del Pueblo  ,
childrensdrawings_iya,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Sanchez Yaguez, Manuel",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 90. Child's Age: 8. Origin: Madrid. Colony: Colonia Familiar, Grupo Alfredo Calderón de Madrid,
Chirivella, Spain. Stamp on back: Consejo municipal Chirivella..",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Playing With The Boys,translated,,Jugando Con Los Chicos  ,
childrensdrawings_iya_000,asset,childrensdrawings_iya,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8176,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_3,,,,,90.tif,filename,Boys.jpg,filename,90v.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,Playing With The Boys,translated,,Jugando Con Los Chicos  ,
childrensdrawings_iye,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Rodriguez, Julian
",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 148
. Child's Age: 13. Origin: Bilbao Colony: Bayonne, France..",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Bayonne (France),http://id.loc.gov/authorities/names/n81072078,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,I Saw This Theatrical Performance Given For Spanish Children At The St. Esprit Cinema Here In Bayonne: A Girl Is Dancing And The Man Seated Beside Her Is Playing The Guitar.,translated,,"Esta Escena De Teatro A Favor De Los Niños Españoles, La Ví Yo Aquí En Bayona En El Cinema St. Esprit: Es Una Muchacha Que Está Bailando, Y El Hombre Que Está Sentado A Su Lado, Está Tocando La Guitarra.",
childrensdrawings_iye_000,asset,childrensdrawings_iye,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8240,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees_atlantiques,,,,,"148.tif
",filename,148.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,I Saw This Theatrical Performance Given For Spanish Children At The St. Esprit Cinema Here In Bayonne: A Girl Is Dancing And The Man Seated Beside Her Is Playing The Guitar.,translated,,"Esta Escena De Teatro A Favor De Los Niños Españoles, La Ví Yo Aquí En Bayona En El Cinema St. Esprit: Es Una Muchacha Que Está Bailando, Y El Hombre Que Está Sentado A Su Lado, Está Tocando La Guitarra.",
childrensdrawings_jic,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Puertas, José",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1938-01,,,"January, 1938",Drawing no: 77. Child's Age: 14. Colony: Valencia. Dated January 1938.,,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Valencia (Spain : Region),http://id.loc.gov/authorities/names/n82020875,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Hurricane In Flight,translated,,Un Hurrican En Vuelo ,
childrensdrawings_jic_000,asset,childrensdrawings_jic,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8163,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/spain/valencia/valencia_3,,,,,77.tif,filename,77.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Hurricane In Flight,translated,,Un Hurrican En Vuelo ,
childrensdrawings_jlu,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Ribas, Angelita",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1936,1939,inferred,between 1936 and 1939,"Drawing no: 85. Child's Age: 9. Colony: Centro Español, Cerbère, France.",Date range based on the dates of the Spanish Civil War.,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,Cerbère (France),http://id.loc.gov/authorities/names/n96051285,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Train Tracks And Tunnel,,,,
childrensdrawings_jlu_000,asset,childrensdrawings_jlu,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8171,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/france/pyrenees-orientales/cerbere3,,,,,85.tif,filename,85.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Train Tracks And Tunnel,,,,
childrensdrawings_jnf,item,,childrens_drawings,Spanish children's drawings of the Civil War collection,http://id.library.columbia.edu/term/4d5ae952-974e-43db-8f24-c1175ca03620,"Estebanez, Luis",personal,Artist,marcrelator,http://id.loc.gov/vocabulary/relators/art,,,1938-06-01,,,"June 1, 1938","Drawing no: 62. Child's Age: 12. Depicts a large airplane, green w/red stripes (mosca) and 2 black planes w/red stripes (Panzers) shooting, another plane in flames, and two parachutes..",,,,,Spanish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/spa,,NNC-A,Avery Library,marcorg,http://id.loc.gov/authorities/names/n80087582,,,,,,,reformatted digital,drawings,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003279,Children's drawings,fast,http://id.worldcat.org/fast/855745,still image,original_format,,,Children's Drawings of the Spanish Civil War,http://www.columbia.edu/cgi-bin/cul/resolve?clio4278351 ,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,War in art,fast,http://id.worldcat.org/fast/1170504,Civil War (Spain : 1936-1939),fast,http://id.worldcat.org/fast/1352321,Drawing Of Airplanes,,,,
childrensdrawings_jnf_000,asset,childrensdrawings_jnf,childrens_drawings,,,,,,,,,,,,,,,,,,omeka_8148,,,,https://exhibitions.cul.columbia.edu/exhibits/show/children/country_unknown,,,,,62.tif,filename,62.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,Drawing Of Airplanes,,,,
