	identifier_omeka,item - public,item - featured,shelfLocator,keyDate_start,form,dateQualifier,physicalLocation,digitalOrigin,languageOfCataloging,title,relatedItem_collection,name_primary,abstract,language,note_filename,typeOfResource,relatedItem_Project
5354,1,0,CMI Box 100|Scrapbook 71,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"NAACP, pt. 1, p. [54] [alternate view]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961",same as previous,eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0071_056_001_002.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5353,1,0,CMI Box 100|Scrapbook 71,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"NAACP, pt. 1, p. [54]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page, featuring 4 items, including a booklet titled ""Constitutionality of a Federal Antilynching Law""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0071_056_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5352,1,0,CMI Box 93|Scrapbook 65,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Lynchings and Race Riots, pt. 2, p. [83]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page, featuring 6 clippings about lynching, including ""The Fate of the Lyncher,"" ""Old Man Lynch,"" and ""My Lynching Country""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0065_085_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5351,1,0,CMI Box 86|Scrapbook 58,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Joe Louis, pt. 4, p. [50]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page, features the program from the June 22, 1938 ""Worlds Heavyweight Championship"" bout between Joe Louis and Max Scmeling, along with several clippings",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0058_052_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5350,1,0,CMI Box 81|Scrapbook 53,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Little Theaters, pt. 1, p. [56] [item 2]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961",same as previous,eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0053_058_002_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5349,1,0,CMI Box 81|Scrapbook 53,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Little Theaters, pt. 1, p. [56] [item 1]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page, features a yellow program from the American Negro Theatre attached on top of a single-sheet flyer that reads ""You must visit. . ."" at the top",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0053_058_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5348,1,0,CMI Box 80|Scrapbook 52,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Libraries, p. [31]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page features a sleeve that has several Bulletins of the New York Public Library in it, with a card for the 135th Street branch of the NYPL mounted on top of it",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0052_033_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5347,1,0,CMI Box 80|Scrapbook 52,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Libraries, p. [30]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page, featuring a calling card from Arhur A. Schomburg, a pamphlet titled ""Placido: A Cuban Martyr,"" 2 clippings, and 2 notices from the New York Public Library",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0052_032_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5346,1,0,CMI Box 78|Scrapbook 50,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Jack Johnson, p. [75]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto features handwritten: ""My day at Hammersteins to see Jack Johnson"" at top, along with a ticket, a door check, and a sleeve with a program for Hammerstein's ballroom",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0050_077_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5345,1,0,CMI Box 78|Scrapbook 50,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Jack Johnson, p. [74]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page features a matted photograph of shirtless boxer, signed ""Jack Johnson""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0050_076_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5344,1,0,CMI Box 77|Scrapbook 49,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Jewish-Prophet-Atheism, p. [17] [open]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961",same as previous,eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0049_019_001_002.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5343,1,0,CMI Box 77|Scrapbook 49,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Jewish-Prophet-Atheism, p. [17]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page features a clipping  titled ""Negro Rabbi Held on Theft Charge, sheet music for ""Shine On, Eternal Light,"" and two other items",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0049_019_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5342,1,0,CMI Box 77|Scrapbook 49,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Jewish-Prophet-Atheism, p. [16]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page features a ticket and flyer for a "" concert and dance"" given by the Beth B'Nai Abraham congregation on January 8, 1925",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0049_018_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5341,1,0,CMI Box 72|Scrapbook 44,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Morris Hunter, p. [12]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961",verso page features 3 photographs of man in turban,eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0044_014_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5340,1,0,CMI Box 71|Scrapbook 41,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Langston Hughes, p. [57]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page features a photograph inscribed ""Sincerely is so commonplace--Langston""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0041_059_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5339,1,0,CMI Box 71|Scrapbook 41,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Langston Hughes, p. [56]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page, featuring a variety of clippings authored by Langston Hughes, including ""Simple and Me,"" ""Passing,"" and ""Shame on You""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0041_058_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5338,1,0,Box 15|Scrapbook 38,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby Book Studio: Guest Book, p. 75 [recto]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page, featuring handwritten ""75"" in upper right corner, as well as signatures from Countee Cullen and ""Bruce,"" with a drawing of Christ on the cross on the upper right",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0038_151_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5337,1,0,Box 15|Scrapbook 38,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby Book Studio: Guest Book, p. 64 [recto]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page, featuring handwritten ""64"" at top right corner, as well as ""Mr. Hendrix party is on their way to Hot Shots"" written at top of page",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0038_131_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5336,1,0,Box 15|Scrapbook 38,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby Book Studio: Guest Book, p. 63 [verso]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","verso page, featuring an inscription from Maxwell Bodenheim at the top that begins ""When you mix black and white. . .""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0038_130_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5335,1,0,Box 66|Scrapbook 36,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Book Studio, pt. 2, p. 52 [open]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","with flap open: large-format poster that reads ""The Arts Ball: 'Alexander Gumby Benefit'"" at top",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0036_061_001_002.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5334,1,0,Box 66|Scrapbook 36,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Book Studio, pt. 2, p. 52 [closed]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","with flap closed: ""52"" handwritten in upper right corner; page features 2 handwritten cards and a small printed flyer that reads ""The Art Committee Presents The Arts Ball"" at top",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0036_061_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5333,1,0,Box 65|Scrapbook 35,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",,,"Gumby's Book Studio, pt. 1, p. 13 [open]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""13"" handwritten on upper right corner of closed flap; with flap open, there is a large ink drawing of Gumby's bookplate (reads: ""L.S. Alexadner Gumby"" and ""Ex Libris""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0035_023_001_002.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5332,1,0,CMI Box 64|Scrapbook 34,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Greenwich Village, p. 37","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""037"" stamped in upper right corner; page features a chalk portrait signed ""Hendrix--Sept 13 1930""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0034_039_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5331,1,0,CMI Box 64|Scrapbook 34,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Greenwich Village, p. 36","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""036"" stamped in upper left corner; features photograph inscribed ""Here's looking at you--Gumby! Nicholas Pisarro""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0034_038_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5330,1,0,CMI Box 62|Scrapbook 32,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Marcus Garvey, p. 41","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""041"" stamped in upper right corner; features mounted sheet music for ""West Indies Blues""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0032_043_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5329,1,0,CMI Box 62|Scrapbook 32,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Marcus Garvey, p. 40","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""040"" stamped in upper left corner; page features clipping titled ""6,000 Negroes Hear Plea for Republic"" and a program titled ""Meeting and Demonstration; Madison Square Garden, Sunday March 16, 1924""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0032_042_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5328,1,0,CMI Box 58|Scrapbook 28,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Ethiopia, pt. 1, p. 24","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""24"" handwritten in upper right corner; photograph of woman, caption reads: ""Lady in Waiting. . .""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0028_029_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5327,1,0,CMI Box 58|Scrapbook 28,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Ethiopia, pt. 1, p. 23","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""23"" handwritten in upper left corner; features a photograph of a woman with parasol held over her; caption reads: ""Princess Tafari. . .""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0028_028_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5326,1,0,CMI Box 56|Scrapbook 26,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Laurence Dunbar, p. 17","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""017"" stamped in upper right corner; page features sheet music for ""Evah Dahkey Is a King""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0026_019_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5325,1,0,CMI Box 56|Scrapbook 26,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Laurence Dunbar, p. 16","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""016"" stamped in upper left corner; page features poem ""Darkie's Rainy Day""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0026_018_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5324,1,0,CMI Box 55|Scrapbook 25,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"W.E.B. Du Bois, p. 19","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""019"" stamped in upper right corner; page features a single flyer with text: ""Announcement Extraordinary; Opening Session of the Fourth Pan-African Congress""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0025_025_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5323,1,0,CMI Box 54|Scrapbook 24,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Frederick Douglass, p. 35 [open]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","previous page, but with flap open to reveal 1 full-page engraved portrait of Douglass, 1 postcard with a painting of Douglass, and a Douglass autograph card dated ""1877""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0024_071_001_002.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5322,1,0,CMI Box 54|Scrapbook 24,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Frederick Douglass, p. 35 [closed]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""35"" handwritten in upper right; closed flap features a clipping dated ""April 21, 1877""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0024_071_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5321,1,0,CMI Box 54|Scrapbook 24,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Frederick Douglass, p. 34 [open]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","previous page, but with flap open to reveal six portraits of Douglass (some are etchings, 1 is a photograph)",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0024_070_001_002.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5320,1,0,CMI Box 54|Scrapbook 24,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Douglass, Frederick, p. 34 [closed]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""34"" handwritten in upper-right; closed flap features an oval-shaped photograph of ""Hon. Frederick Douglass"" above a short clipped biography of Douglass",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0024_070_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5319,1,0,CMI Box 41|Scrapbook 11,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Book Reviews, pt. 2, p. 33","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""033"" stamped in upper left; page features 2 clippings and a typescript letter written on ""The Association for the Study of Negroe Life and History, Incorporated"" letterhead",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0011_041_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5318,1,0,CMI Box 41|Scrapbook 11,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Book Reviews, pt. 2, p. 32","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""032"" stamped in upper left; page features 3 clippings, one titled ""When Literacy Was a Crime""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0011_040_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5317,1,0,CMI Box 38|Scrapbook 8,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Josephine Baker, p. [57]","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","recto page, featuring a program for ""La Revue des Folies Bergere"" (it has a blue and gold cover with an onionskin wrapper)",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0008_059_001_002.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5316,1,0,CMI Box 37|Scrapbook 7,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Art, Negro, p. 55","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""055"" stamped in upper right; page features mounted poster with text: ""Art Exhibition given by the Art Student's Club""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0007_057_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5315,1,0,CMI Box 33|Scrapbook 3,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Amalgamation of Races, pt. 2, p. 45","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""045"" stamped in upper right; page features 2 clippings and a yellow wrapper for ""NiggerHair Tobacco"" package",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0003_047_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
5314,1,0,CMI Box 33|Scrapbook 3,1910 1952,scrapbooks,approximate,"Rare Book and Manuscript Library, Columbia University",rd,eng,"Amalgamation of Races, pt. 2, p. 44","Alexander Gumby Collection of Negroiana, [ca. 1800]-1981","Gumby, L.S. Alexander, 1885-1961","""044"" stamped in upper right; page features 6 clippings, including one titled ""The Right Name""",eng,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=rbml_gumby_0003_046_001_001.jpg,Still Image,"""The Unwritten History"":  Alexander Gumby's African America
"
