_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,note-2:note_type,note-2:note_value,note-3:note_type,note-3:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,omeka_identifier-1:omeka_identifier_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1.name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_usage_primary,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,object_in_context_url-1:object_in_context_url_value,location-1:location_term.value,location-1:location_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created-1:date_created_key_date,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,digital_origin-1:digital_origin_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-5:subject_name_term.value,subject_name-5:subject_name_term.name_type,subject_name-5:subject_name_term.authority,subject_name-5:subject_name_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,abstract-1:abstract_value,note-1:note_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,_project.string_key
RBML_NYCCC_100131062_001,RBML_NYCCC_100131062,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131062,filename,httpwwwcolumbia_dc0044097c.educgi-binculdevdlo2obj=rbml_nyccc_100131062,,North River Bridge Sketch,,,2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/building/bridge2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131061,,item,,,,,,"Letter from Washington A. Roebling to Gustav H. Schwab, Trenton, N.J., June 21, 1894",262,8,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973 ","Roebling, Washington Augustus, 1837-1926",personal,naf,http://id.loc.gov/authorities/names/n83181666,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,"Schwab, Gustav H. (Gustav Henry), 1851-1912",personal,naf,http://id.loc.gov/authorities/names/no2007127141,Addressee,marcrelator,http://id.loc.gov/vocabulary/relators/rcp,,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"June 21, 1894",1894-06-21,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Bridges--Design and construction,fast,http://id.worldcat.org/fast/00838690,Suspension bridges--Design and construction,fast,http://id.worldcat.org/fast/01139696,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131061_001,RBML_NYCCC_100131061,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131061,filename,httpwwwcolumbia_4847bf1a5d.educgi-binculdevdlo2obj=rbml_nyccc_100131061,,Page 1,,,2754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/building/bridge2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131061_002,RBML_NYCCC_100131061,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131061a,filename,httpwwwcolumbia_798a02fd97.educgi-binculdevdlo2obj=rbml_nyccc_100131061a,,Page 2,,,2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131061_003,RBML_NYCCC_100131061,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131061b,filename,httpwwwcolumbia_d41eaa8083.educgi-binculdevdlo2obj=rbml_nyccc_100131061b,,Page 3,,,2756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131060,,item,,,,,,"Resolution Regarding the Loss of the Titanic, June 4, 1912",262,2,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973 ",New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,text,documents,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm003185,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"June 4, 1912",1912-06-04,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,"Titanic (Steamship)
",corporate,naf,http://id.loc.gov/authorities/names/n50082026,,,,,,,,,,,,,,,,,Marine accidents--Prevention,fast,http://id.worldcat.org/fast/01009355,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131060_001,RBML_NYCCC_100131060,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131060,filename,httpwwwcolumbia_98be97d373.educgi-binculdevdlo2obj=rbml_nyccc_100131060,,"Resolution Regarding the Loss of the Titanic, June 4, 1912",,,2753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/building/titanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131059,,item,,,,,,Refuse in the Harbor,262,2,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973 ",New York Chamber of Commerce. Committee on the Harbor and Shipping,corporate,naf,http://id.loc.gov/authorities/names/no2020117858,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Addressee,marcrelator,http://id.loc.gov/vocabulary/relators/rcp,,text,minutes (administrative records),aat,http://vocab.getty.edu/aat/300027440,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"January 8, 1903",1903-01-08,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Refuse and refuse disposal,fast,http://id.worldcat.org/fast/01092888,,,,,,,New York Harbor (N.Y. and N.J.),lcsh,http://id.loc.gov/authorities/subjects/sh99004716,,,,,"From Minutes, Vol. XI, no. 74",,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131059_001,RBML_NYCCC_100131059,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131059,filename,httpwwwcolumbia_8084659584.educgi-binculdevdlo2obj=rbml_nyccc_100131059,,Refuse in the Harbor,,,2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/building/harbor2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131058,,item,,,,,,Shoaling of the Channel,262,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series VI: Committees, 1822-1972",2,subseries,"Subseries VI.2: General Committees, 1822-1973 ",New York Chamber of Commerce. Committee on the Harbor and Shipping,corporate,naf,http://id.loc.gov/authorities/names/no2020117858,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,text,minutes (administrative records),aat,http://vocab.getty.edu/aat/300027440,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"February 8, 1910",1910-02-08,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Channels (Hydraulic engineering),fast,http://id.worldcat.org/fast/00852125,Dredging,fast,http://id.worldcat.org/fast/00897926,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131058_001,RBML_NYCCC_100131058,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131058,filename,httpwwwcolumbia_0724896c6c.educgi-binculdevdlo2obj=rbml_nyccc_100131058,,Page 1,,,2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131058_002,RBML_NYCCC_100131058,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131058a,filename,httpwwwcolumbia_4486bc1a8e.educgi-binculdevdlo2obj=rbml_nyccc_100131058a,,Page 2,,,2751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131057,,item,,,,,,Synthetic Rubber Exhibit in Chamber's Luncheon Room,172,3,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,June 1943,1943-06,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,"Rubber, Artificial",fast,http://id.worldcat.org/fast/01100981,Exhibitions,fast,http://id.worldcat.org/fast/00918097,,,,United States,naf,http://id.loc.gov/authorities/names/n78095330,,,,,"Bulletin, Vol. 35, 1943 May-1944 April",New York Chamber of Commerce,New York,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131057_001,RBML_NYCCC_100131057,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131057,filename,httpwwwcolumbia_c68671c2c0.educgi-binculdevdlo2obj=rbml_nyccc_100131057,,Synthetic Rubber Exhibit in Chamber's Luncheon Room,,,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/science/rubber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
RBML_NYCCC_100131056,,item,,,,,,Opening of Financial District Fingerprinting Bureau At Chamber,172,2,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,October 1942,1942-10,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Fingerprints,fast,http://id.worldcat.org/fast/00924859,,,,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,"""Left to Right--George Doubleday, C. M. Guggenheimer, Percy H. Johnston, F. K. Stevens, Frederick E. Hasler, H. Boardman Spalding, Police Dept. Fingerprint Expert, Jeremiah R. Van Brunt and Robert K. Christenberry.""","Bulletin, Vol. 34, 1942 May-1943 April",New York Chamber of Commerce,New York,,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/, 
RBML_NYCCC_100131056_001,RBML_NYCCC_100131056,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131056,filename,httpwwwcolumbia_34ccbef0b4.educgi-binculdevdlo2obj=rbml_nyccc_100131056,,Opening of Financial District Fingerprinting Bureau At Chamber,,,2748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/politics/soldier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-site Access,In Copyright,rightsstatements,http://rightsstatements.org/vocab/InC/1.0/,
RBML_NYCCC_100131055,,item,,,,,,Compulsory Health Insurance,166,4,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,text,minutes (administrative records),aat,http://vocab.getty.edu/aat/300027440,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"February 1, 1917",1917-02-01,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Health insurance,fast,http://id.worldcat.org/fast/01715839,,,,,,,United States,naf,http://id.loc.gov/authorities/names/n78095330,,,,,"Bulletin, Vol. 8, 1916 May-1917 April",New York Chamber of Commerce,New York,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131055_001,RBML_NYCCC_100131055,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131055,filename,httpwwwcolumbia_63b0a0da9d.educgi-binculdevdlo2obj=rbml_nyccc_100131055,,Page 1,,,2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131055_002,RBML_NYCCC_100131055,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131055a,filename,httpwwwcolumbia_a822baab58.educgi-binculdevdlo2obj=rbml_nyccc_100131055a,,Page 2,,,2746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131055_003,RBML_NYCCC_100131055,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131055b,filename,httpwwwcolumbia_600baf7d68.educgi-binculdevdlo2obj=rbml_nyccc_100131055b,,Page 3,,,2747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131054,,item,,,,,,"One Hundred and Forty-Seventh Annual Banquet of the Chamber of Commerce, November 18, 1915",166,3,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,"November 18, 1915",1915-11-18,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,,,,,,,,,,,,,,,,,Dinners and dining,fast,http://id.worldcat.org/fast/00893952,,,,,,,,,,,,,"""At the President's table reading from left to right are seated Hon. Morgan J. O'Brien, Hon. Alton B. Parker, Jacob H. Schiff, A. Barton Hepburn, Hon. John Skelton Williams, Darwin P. Kingsley, Acting-Mayor McAneny, Hon. William Cox Redfield, President Low, Nicholas Murray Butler, LL. D. Gen. Horace Porter, Rear-Admiral Nathaniel R. Usher, U.S.N., John L. Waterbury, Rt. Rev. David H. Greer, D. D., Rear Admiral Robert E. Peary, U. S. N., Hon. Martin Saxe""                                  ","Bulletin, Vol. 7, 1915 May-1916 April",New York Chamber of Commerce,New York,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131054_001,RBML_NYCCC_100131054,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131054,filename,httpwwwcolumbia_17bcc35ad7.educgi-binculdevdlo2obj=rbml_nyccc_100131054,,"One Hundred and Forty-Seventh Annual Banquet of the Chamber of Commerce, November 18, 1915",,,2744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/inside/banquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131053,,item,,,,,,New York State Building in the Panama Pacific Exposition Dedicated by President Seth Low of the Chamber,166,2,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,March 1915,1915-03,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,"Panama-Pacific International Exposition (1915 : San Francisco, Calif.)",conference,naf,http://id.loc.gov/authorities/names/n50080906,,,,,,,,,,,,,,,,,Exhibition buildings,fast,http://id.worldcat.org/fast/00918085,,,,,,,,,,,,,,"Bulletin, Vol. 6, 1914 May-1915 April",New York Chamber of Commerce,New York,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131053_001,RBML_NYCCC_100131053,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131053,filename,httpwwwcolumbia_cd2bb066a1.educgi-binculdevdlo2obj=rbml_nyccc_100131053,,New York State Building in the Panama Pacific Exposition Dedicated by President Seth Low of the Chamber,,,2743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/nyccc/memory/panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131052d,,item,,,,,,Proposed Great Dry Dock,166,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,February 1914,1914-02,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Dry docks,fast,http://id.worldcat.org/fast/00899132,Harbors,fast,http://id.worldcat.org/fast/00951219,,,,"Brooklyn (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80040311,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"""Sketch showing the combined wet and dry dock, proposed by Dock Commissioner Smith, to be located at 35th Street, South Brooklyn. It would be 1,000 feet in length.""","Bulletin, Vol. 5, 1913 May-1914 April",New York Chamber of Commerce,New York,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
RBML_NYCCC_100131052d_001,RBML_NYCCC_100131052d,asset,original filename,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=RBML_NYCCC_100131052d,filename,httpwwwcolumbia_51904a3014.educgi-binculdevdlo2obj=rbml_nyccc_100131052d,,Proposed Great Dry Dock,,,2742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/, 
RBML_NYCCC_100131052c,,item,,,,,The,New 1000 Foot Piers,166,1,,New York Chamber of Commerce and Industry Records,http://id.library.columbia.edu/term/33a77de2-f4e2-4eec-ba82-07920d9ae22b,1,series,"Series III: Bulletins, 1909-1970",,,,New York Chamber of Commerce,corporate,naf,http://id.loc.gov/authorities/names/n50003293,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,TRUE,,,,,,,,,still image,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,February 1914,1914-02,,,TRUE,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,reformatted digital,,,,,,,,,,,,,,,,,,,,,Piers,fast,http://id.worldcat.org/fast/01063893,Harbors,fast,http://id.worldcat.org/fast/00951219,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,"""This is an illustration of how the territory north of 46th Street may be improved, gradually, to meet the demand of commerce ...""","Bulletin, Vol. 5, 1913 May-1914 April",New York Chamber of Commerce,New York,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,
