identifier_omeka,identifier_title,title,partName,relatedItem_collection,name_primary,name_primary_authority,name_primary_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,typeOfResource,language,language_authority,language_authority_identifier,physicalLocation,physicalLocation_authority,physicalLocation_authority_identifier,shelfLocator,note_filename,note_filename_2,digitalOrigin,form,form_authority,form_authority_identifier,place,place_authority_identifier,publisher,languageOfCataloging,identifier_clio,location_url_ObjectInContext
omeka_6796,readingofbooks_ubh_001,Vision of Pierce Plowman,Title page,The Reading of Books and the Reading of Literature ,"Langland, William, 1330?-1400?",naf,http://id.loc.gov/authorities/names/n78095389,1550,,exact,1550,Title page of The Vision of Pierce Plowman.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P821.15 I,http://ldpd.lampdev.columbia.edu/o/120034032.jpg,original filename: 120034032.tif|2nd edition,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Robert Crowley,eng,7483409,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/pierceplowman
omeka_6795,readingofbooks_ahq_056,Workes of Geffray Chaucer newlye printed,Signature  G2v (folio Xxvi),The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1542,,exact,1542,"Beginning of the Squire's Tale, with woodcut.",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P017.En1 B64 1542C ,http://ldpd.lampdev.columbia.edu/o/120034031.jpg,original filename: 120034031.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Printed by [Richard Grafton for] Wyllyam Bonham,eng,6997785,
omeka_6794,readingofbooks_ahq_021,Workes of Geffray Chaucer newlye printed,Signature  C1r (folio i),The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1542,,exact,1542,"Beginning of the Knight's Tale, with woodcut.",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P017.En1 B64 1542C ,http://ldpd.lampdev.columbia.edu/o/120034030.jpg,original filename: 120034030.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Printed by [Richard Grafton for] Wyllyam Bonham,eng,6997785,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/1542chaucer
omeka_6793,readingofbooks_ahq_004,Workes of Geffray Chaucer newlye printed,Signature  A2v-A3r,The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1542,,exact,1542,Editor's preface.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P017.En1 B64 1542C ,http://ldpd.lampdev.columbia.edu/o/120034029.jpg,original filename: 120034029.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Printed by [Richard Grafton for] Wyllyam Bonham,eng,6997785,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/1542chaucer
omeka_6792,readingofbooks_ahq_001,Workes of Geffray Chaucer newlye printed,Title page,The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1542,,exact,1542,Original title page with a much later frontispiece.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P017.En1 B64 1542C ,http://ldpd.lampdev.columbia.edu/o/120034028.jpg,original filename: 120034028.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Printed by [Richard Grafton for] Wyllyam Bonham,eng,6997785,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/1542chaucer
omeka_6791,readingofbooks_ahq_003,Workes of Geffray Chaucer newlye printed,Frontispiece,The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1542,,exact,1542,Original title page with a much later frontispiece.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P017.En1 B64 1542C ,http://ldpd.lampdev.columbia.edu/o/120034027.jpg,original filename: 120034027.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Printed by [Richard Grafton for] Wyllyam Bonham,eng,6997785,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/printauthorship
omeka_6790,readingofbooks_ahq_002,Workes of Geffray Chaucer newlye printed,Front flyleaf,The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1542,,exact,1542,"Note by James Boaden, former owner.",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,Phoenix P017.En1 B64 1542C ,http://ldpd.lampdev.columbia.edu/o/120034026.jpg,original filename: 120034026.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,England,http://id.loc.gov/authorities/names/n82068148,Printed by [Richard Grafton for] Wyllyam Bonham,eng,6997785,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/1542chaucer
omeka_6789,readingofbooks_zip_186,Faerie Queene,Pages 186-89,The Reading of Books and the Reading of Literature ,"Spenser, Edmund, 1552?-1599",naf,http://id.loc.gov/authorities/names/n78081910,1609,,exact,1609,The end of Book 3 and beginning of Book 4 of The Faerie Queene. The title page that should be between these two leaves has been moved to the front of the book and altered.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B823Sp3 Q5 1609,http://ldpd.lampdev.columbia.edu/o/120034025.jpg,original filename: 120034025.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Matthew Lownes,eng,5579826,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/faeriequeene
omeka_6788,readingofbooks_zip_020,Faerie Queene,Pages 20-21,The Reading of Books and the Reading of Literature ,"Spenser, Edmund, 1552?-1599",naf,http://id.loc.gov/authorities/names/n78081910,1609,,exact,1609,The end of the ink facsimile. ,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B823Sp3 Q5 1609,http://ldpd.lampdev.columbia.edu/o/120034024.jpg,original filename: 120034024.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Matthew Lownes,eng,5579826,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/faeriequeene
omeka_6787,readingofbooks_zip_012,Faerie Queene,Pages 12-13,The Reading of Books and the Reading of Literature ,"Spenser, Edmund, 1552?-1599",naf,http://id.loc.gov/authorities/names/n78081910,1609,,exact,1609,"This copy was missing some leaves, so one of the book's owners carefully made an ink facsimile of the missing pages.",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B823Sp3 Q5 1609,http://ldpd.lampdev.columbia.edu/o/120034023.jpg,original filename: 120034023.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Matthew Lownes,eng,5579826,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/faeriequeene
omeka_6786,readingofbooks_zip_001,Faerie Queene,Title page,The Reading of Books and the Reading of Literature ,"Spenser, Edmund, 1552?-1599",naf,http://id.loc.gov/authorities/names/n78081910,1609,,exact,1609,"Columbia's copy of the 1609 Faerie Queene lacks the title page and dedicatory epistle. One of the book's owners thus removed the title page preceding books 4-6, inserted it at the beginning of the book, and altered it to read ""The First Part of the Faerie Queene: Containing the first, second, & third books."" Note that several words are pasted in: ""First"" preceding part as well as ""first, second, and third."" ",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B823Sp3 Q5 1609,http://ldpd.lampdev.columbia.edu/o/120034022.jpg,original filename: 120034022.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Matthew Lownes,eng,5579826,https://exhibitions.cul.columbia.edu/exhibits/show/reading/englishcanon/faeriequeene
omeka_6785,readingofbooks_iif_999,"Comedies,  Histories and Tragedies",Signature 3D4v (very last page),The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1632,,exact,1632,A dirty page.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B823SI IC 32,http://ldpd.lampdev.columbia.edu/o/120034021.jpg,original filename: 120034021.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Printed by Tho. Cotes,eng,,
omeka_6784,readingofbooks_iif_061,"Comedies,  Histories and Tragedies",Signature F1r,The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1632,,exact,1632,Grease stain and the beginning of Measure for Measure.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B823SI IC 32,http://ldpd.lampdev.columbia.edu/o/120034020.jpg,original filename: 120034020.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Printed by Tho. Cotes,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/shakespearefolio
omeka_6783,readingofbooks_iif_014,"Comedies,  Histories and Tragedies",Signature A3v,The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1632,,exact,1632,Leaf a little burnt.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B823SI IC 32,http://ldpd.lampdev.columbia.edu/o/120034019.jpg,original filename: 120034019.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Printed by Tho. Cotes,eng,,
omeka_6782,readingofbooks_iif_008,"Comedies,  Histories and Tragedies",Signature *4v-A1r,The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1632,,exact,1632,Catalogue and beginning of The Tempest.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B823SI IC 32,http://ldpd.lampdev.columbia.edu/o/120034018.jpg,original filename: 120034018.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Printed by Tho. Cotes,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/shakespearefolio
omeka_6781,readingofbooks_iif_001,"Comedies,  Histories and Tragedies",Title page and facing page,The Reading of Books and the Reading of Literature ,"Shakespeare, William, 1564-1616",naf,http://id.loc.gov/authorities/names/n78095332,1632,,exact,1632,Title page of the Shakespeare second folio.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B823SI IC 32,http://ldpd.lampdev.columbia.edu/o/120034017.jpg,original filename: 120034017.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Printed by Tho. Cotes,eng,,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/shakespearefolio
omeka_6780,readingofbooks_rbo_256,"Workes of Our Ancient and Learned English Poet,  Geffrey Chaucer",Signature 3T1r,The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1602,,exact,1602,"A dictionary wherein ""olde and obscure words in Chaucer"" are explained.",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B822 C39 I 1602,http://ldpd.lampdev.columbia.edu/o/120034016.jpg,original filename: 120034016.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Adam Islip,eng,5567527,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/speghtchaucer
omeka_6779,readingofbooks_rbo_005,"Workes of Our Ancient and Learned English Poet,  Geffrey Chaucer",Signature B1r,The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1602,,exact,1602,"Text of The Canterbury Tales. The margins contain manicules marking the sentences, as the title page advertises. Note the slight difference between the manicules in the left and right margins.",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B822 C39 I 1602,http://ldpd.lampdev.columbia.edu/o/120034015.jpg,original filename: 120034015.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Adam Islip,eng,5567527,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/speghtchaucer
omeka_6778,readingofbooks_rbo_008,"Workes of Our Ancient and Learned English Poet,  Geffrey Chaucer",Signature B2v,The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1602,,exact,1602,"A coat-of-arms, which the editors of this volume ""coniecture"" is Chaucer's. The letters ""g"" and ""ar"" indicate its colors, which future owners could fill in. ",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B822 C39 I 1602,http://ldpd.lampdev.columbia.edu/o/120034014.jpg,original filename: 120034014.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Adam Islip,eng,5567527,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/speghtchaucer
omeka_6777,readingofbooks_rbo_001,"Workes of Our Ancient and Learned English Poet,  Geffrey Chaucer",Title page,The Reading of Books and the Reading of Literature ,"Chaucer, Geoffrey, -1400",naf,http://id.loc.gov/authorities/names/n79027228,1602,,exact,1602,"Title page of Speight's Chaucer, which details  some of the features of the 1602 edition",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B822 C39 I 1602,http://ldpd.lampdev.columbia.edu/o/120034013.jpg,original filename: 120034013.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,London,,Adam Islip,eng,5567527,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/speghtchaucer
omeka_6776,readingofbooks_oyz_312,Scriptorum illustriu[m] maioris Brytanni[a]e,Signature T4v,The Reading of Books and the Reading of Literature ,"Bale, John, 1495-1563",naf,http://id.loc.gov/authorities/names/n50017581,1557 - 1559,1559,exact,circa 1557-1559,The printer's device at the end of Scriptorum Illustrium.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B015.42 B192,http://ldpd.lampdev.columbia.edu/o/120034012.jpg,original filename: 120034012.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Basel (Switzerland),,Joannem Oporinum,eng,6478246,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/collation
omeka_6775,readingofbooks_oyz_524,Scriptorum illustriu[m] maioris Brytanni[a]e,Signature uu2v-uu3r (pages 524-25),The Reading of Books and the Reading of Literature ,"Bale, John, 1495-1563",naf,http://id.loc.gov/authorities/names/n50017581,1557 - 1559,1559,exact,circa 1557-1559,Entries for John Gower and Geoffrey Chaucer,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B015.42 B192,http://ldpd.lampdev.columbia.edu/o/120034011.jpg,original filename: 120034011.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Basel (Switzerland),,Joannem Oporinum,eng,6478246,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/johnbale
omeka_6774,readingofbooks_oyz_474,Scriptorum illustriu[m] maioris Brytanni[a]e,Signature Ov-2Or (pages 474-75),The Reading of Books and the Reading of Literature ,"Bale, John, 1495-1563",naf,http://id.loc.gov/authorities/names/n50017581,1557 - 1559,1559,exact,circa 1557-1559,"Entry for ""Robertus Langelande."" Bale, and later Crowley, would refer to William Langland as Robert Langland.",still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B015.42 B192,http://ldpd.lampdev.columbia.edu/o/120034010.jpg,original filename: 120034010.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Basel (Switzerland),,Joannem Oporinum,eng,6478246,
omeka_6773,readingofbooks_oyz_002,Scriptorum illustriu[m] maioris Brytanni[a]e,Page 1 and facing page,The Reading of Books and the Reading of Literature ,"Bale, John, 1495-1563",naf,http://id.loc.gov/authorities/names/n50017581,1557 - 1559,1559,exact,circa 1557-1559,Errata page and the beginning of Scriptorum Illustrium,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B015.42 B192,http://ldpd.lampdev.columbia.edu/o/120034009.jpg,original filename: 120034009.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Basel (Switzerland),,Joannem Oporinum,eng,6478246,
omeka_6772,readingofbooks_oyz_000,Scriptorum illustriu[m] maioris Brytanni[a]e,Frontispiece,The Reading of Books and the Reading of Literature ,"Bale, John, 1495-1563",naf,http://id.loc.gov/authorities/names/n50017581,1557 - 1559,1559,exact,circa 1557-1559,Portrait of John Bale,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B015.42 B192,http://ldpd.lampdev.columbia.edu/o/120034008.jpg,original filename: 120034008.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Basel (Switzerland),,Joannem Oporinum,eng,6478246,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/johnbale
omeka_6771,readingofbooks_oyz_001,Scriptorum illustriu[m] maioris Brytanni[a]e,Title page,The Reading of Books and the Reading of Literature ,"Bale, John, 1495-1563",naf,http://id.loc.gov/authorities/names/n50017581,1557 - 1559,1559,exact,circa 1557-1559,Torn title page of Scriptorum Illustrium,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B015.42 B192,http://ldpd.lampdev.columbia.edu/o/120034007.jpg,original filename: 120034007.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Basel (Switzerland),,Joannem Oporinum,eng,6478246,https://exhibitions.cul.columbia.edu/exhibits/show/reading/idealcopy/johnbale
omeka_6770,readingofbooks_tva_554,Petrarca colla spositione di Misser Giovanni Andrea Gesualdo,Signature KK1v-KK2r,The Reading of Books and the Reading of Literature ,"Petrarca, Francesco, 1304-1374",naf,http://id.loc.gov/authorities/names/n79092622,1533,,exact,1533,Beginning of the handwritten section of the book.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B85 P445,http://ldpd.lampdev.columbia.edu/o/120034006.jpg,original filename: 120034006.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Venice,,Giouann'Antonio di Nicolini & fratelli da Sabbio,eng,7476848,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/petrarch
omeka_6769,readingofbooks_tva_125,Petrarca colla spositione di Misser Giovanni Andrea Gesualdo,Signature I6v,The Reading of Books and the Reading of Literature ,"Petrarca, Francesco, 1304-1374",naf,http://id.loc.gov/authorities/names/n79092622,1533,,exact,1533,A marginal note by an early reader mentioning Machiavelli.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B85 P445,http://ldpd.lampdev.columbia.edu/o/120034005.jpg,original filename: 120034005.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Venice,,Giouann'Antonio di Nicolini & fratelli da Sabbio,eng,7476848,
omeka_6768,readingofbooks_tva_004,Petrarca colla spositione di Misser Giovanni Andrea Gesualdo,Signature A3r,The Reading of Books and the Reading of Literature ,"Petrarca, Francesco, 1304-1374",naf,http://id.loc.gov/authorities/names/n79092622,1533,,exact,1533,A marginal note suggesting a different explanation.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B85 P445,http://ldpd.lampdev.columbia.edu/o/120034004.jpg,original filename: 120034004.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Venice,,Giouann'Antonio di Nicolini & fratelli da Sabbio,eng,7476848,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/petrarch
omeka_6767,readingofbooks_tva_002,Petrarca colla spositione di Misser Giovanni Andrea Gesualdo,Signature A1r,The Reading of Books and the Reading of Literature ,"Petrarca, Francesco, 1304-1374",naf,http://id.loc.gov/authorities/names/n79092622,1533,,exact,1533,Comment on explanatory note by an early reader.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B85 P445,http://ldpd.lampdev.columbia.edu/o/120034003.jpg,original filename: 120034003.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Venice,,Giouann'Antonio di Nicolini & fratelli da Sabbio,eng,7476848,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/petrarch
omeka_6766,readingofbooks_tva_016,Petrarca colla spositione di Misser Giovanni Andrea Gesualdo,Signature A8r,The Reading of Books and the Reading of Literature ,"Petrarca, Francesco, 1304-1374",naf,http://id.loc.gov/authorities/names/n79092622,1533,,exact,1533,Correction by an early reader.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B85 P445,http://ldpd.lampdev.columbia.edu/o/120034002.jpg,original filename: 120034002.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Venice,,Giouann'Antonio di Nicolini & fratelli da Sabbio,eng,7476848,
omeka_6765,readingofbooks_tva_001,Petrarca colla spositione di Misser Giovanni Andrea Gesualdo,Title page,The Reading of Books and the Reading of Literature ,"Petrarca, Francesco, 1304-1374",naf,http://id.loc.gov/authorities/names/n79092622,1533,,exact,1533,Title page.,still image,,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Rare Book and Manuscript Library, Columbia University",NNC-RB,http://id.loc.gov/authorities/names/n78009986,B85 P445,http://ldpd.lampdev.columbia.edu/o/120034001.jpg,original filename: 120034001.tif,Reformatted Digital,books,aat,http://vocab.getty.edu/aat/300028051,Venice,,Giouann'Antonio di Nicolini & fratelli da Sabbio,eng,7476848,https://exhibitions.cul.columbia.edu/exhibits/show/reading/imaginingtheauthor/petrarch
