identifier_omeka,item - public,item - featured,note,form,keyDate_start,dateQualifier,digitalOrigin,physicalLocation,relatedItem_collection,languageOfCataloging,shelfLocator,place,place 2,name_primary,dateCreated,title,language,abstract,subject_topic,accessCondition,publisher,identifier_clio,source,note_filename,	typeOfResource,relatedItem_Project,location_url_ObjectInContext,note_ownership,rightsHolder
7379,1,0,original filename: 1202580064,printed ephemera,1947-03-10 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1947","New York, New York",,Juilliard School of Music,"March 10, 1947","Two Concerts of Music of the Twentieth Century, front cover",eng,"Program for two concerts of twentieth century music by Julliard School of Music at Carnegie Hall. Performed by the Julliard Orchestra and Chorus, conducted by Thor Johnson and Robert Shaw.","Johnson, Thor |Shaw, Robert, 1916-1999|Juilliard Orchestra |Juilliard Chorus ",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480064.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/of-new-horizons,,
7378,1,0,original filename: 1202580063,printed ephemera,1951-05-17 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1951","Quincy, Illinois",,Quincy Chamber Music Ensemble,"May 17, 1951","Ulysses Kay's ""Song of Ahab"" program, insert",eng,"Song of Ahab, Ulysses Kay",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480063.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/song-of-ahab,,
7377,1,0,original filename: 1202480062,printed ephemera,1951-05-17 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1951","Quincy, Illinois",,Quincy Chamber Music Ensemble,"May 17, 1951","Ulysses Kay's ""Song of Ahab"" program, verso",eng,"Song of Ahab, Ulysses Kay",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480062.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/song-of-ahab,,
7376,1,0,original filename: 1202480061,printed ephemera,1951-05-17 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1951","Quincy, Illinois",,Quincy Chamber Music Ensemble,"May 17, 1951","Ulysses Kay's ""Song of Ahab"" program, recto",eng,Song of Ahab by Ulysses Kay and presented by the Quincy Chamber Music Ensemble,,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480061.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/solo-voice-and-choral-music/song-of-ahab,,
7375,1,0,original filename: 1202480060,printed ephemera,1952-04-15 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1952","Rome, Italy",,American Academy in Rome,"April 15, 1952","Villa Aurelia Concert Program, recto",eng,"Program for a concert at the Villa Aurelia, American Academy in Rome. Pieces performed included:
Fantasy in F minor for piano, Leo Smit
Partita for violin and piano, Ulysses Kay
Serenade for flute, viola and guitar, Frank Wigglesworth
Trio for oboe, clarinet and viola, Randall Thompson","Kay, Ulysses, 1917-1995|Smit, Leo, 1921-1999|Wigglesworth, Frank, 1918-1996|Thompson, Randall, 1899-1984",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480060.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/prix-de-rome-and-other-honors/prix-de-rome,,
7374,1,0,original filename: 1202480059,printed ephemera,1966-08-16 1966-08-20,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1966","Rochester, Michigan",,Meadow Brook Music Festival,"August 16 to 20, 1966","Meadow Brook Music Festival, unnumbered page 4",eng,Program for the Meadowbrook Music Festival,Meadow Brook Music Festival |Detroit Symphony Orchestra,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480059.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/markings,,
7373,1,0,original filename: 1202580058,printed ephemera,1966-08-16 1966-08-20,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1966","Rochester, Michigan",,Meadow Brook Music Festival,"August 16 to 20, 1966","Meadow Brook Music Festival, unnumbered page 3",eng,Program for the Meadowbrook Music Festival,Meadow Brook Music Festival |Detroit Symphony Orchestra,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480058.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/markings,,
7372,1,0,original filename: 1202480057,printed ephemera,1966-08-16 1966-08-20,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1966","Rochester, Michigan",,Meadow Brook Music Festival,"August 16 to 20, 1966","Meadow Brook Music Festival, unnumbered page 2",eng,Program for the Meadowbrook Music Festival,Meadow Brook Music Festival |Detroit Symphony Orchestra,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480057.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/markings,,
7371,1,0,original filename: 1202480056,printed ephemera,1966-08-16 0166-08-20,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1966","Rochester, Michigan",,Meadow Brook Music Festival,"August 16 to 20, 1966","Meadow Brook Music Festival, unnumbered page 1",eng,Program for the Meadowbrook Music Festival,Meadow Brook Music Festival |Detroit Symphony Orchestra,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480056.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/markings,,
7370,1,0,original filename: 1202480055,printed ephemera,1968-03-28 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1968",,,Lecture and Entertainment Committee|Illinois Arts Council|Illinois. Sesquicentennial Commission,"March 28, 1968","Chicago Symphony Orchestra program, unnumbered pages 6 to 7",eng,,"Chicago Symphony Orchestra|Martinon, Jean, 1910-1976",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480055.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/symphony,,
7369,1,0,original filename: 1202580054,printed ephemera,1968-03-28 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1968","Macomb, Illinois",,Lecture and Entertainment Committee|Illinois Arts Council|Illinois. Sesquicentennial Commission,"March 28, 1968","Chicago Symphony Orchestra program, unnumbered pages 4 to 5",eng,,"Chicago Symphony Orchestra|Martinon, Jean, 1910-1976",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480054.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/symphony,,
7368,1,0,original filename: 1202480053,printed ephemera,1968-03-28 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1968","Macomb, Illinois",,Lecture and Entertainment Committee|Illinois Arts Council|Illinois. Sesquicentennial Commission,"March 28, 1968","Chicago Symphony Orchestra program, unnumbered pages 2 to 3",eng,,"Chicago Symphony Orchestra|Martinon, Jean, 1910-1976",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480053.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/symphony,,
7367,1,0,original filename: 1202480052,printed ephemera,1968-03-28 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1968","Macomb, Illinois",,Lecture and Entertainment Committee|Illinois Arts Council|Illinois. Sesquicentennial Commission,"March 28, 1968","Chicago Symphony Orchestra program, front cover",eng,,"Chicago Symphony Orchestra|Martinon, Jean, 1910-1976",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480052.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/symphony,,
7366,1,0,original filename: 1202480051,printed ephemera,1971-03-12 1971-03-13,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1971",,,University of Illinois Opera Group,"March 12-13, 1971","Capitoline Venus and the Trials of Psyche program, verso",eng,"Trials of Psyche, Neely Bruce","Kay, Ulysses, 1917-1995|Bruce, Neely",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480051.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/the-capitoline-venus,,
7365,1,0,original filename: 1202480050,printed ephemera,1971-03-12 1971-03-13,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1971","Urbana, Illinois",,University of Illinois Opera Group,"March 12-13, 1971","Capitoline Venus and the Trials of Psyche program, recto",eng,"Trials of Psyche, Neely Bruce","Kay, Ulysses, 1917-1995|Bruce, Neely",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480050.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/the-capitoline-venus,,
7364,1,0,original filename: 1202480049,printed ephemera,1971-01-23 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1971","New York, New York",,New York Philharmonic,1971 January 23,"Young People's Concert, page B",eng,"Program for performance of musical pieces, including Serenade for Orchestra, ""Presto,"" by Ulysses Kay.

Dean Dixon, conductor; this page of program includes the ""Meet the Conductor"" section.","Dixon, Dean, 1915-1976",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480049.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7363,1,0,original filename: 1202480048,printed ephemera,1971-01-23 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1971","New York, New York",,"New York Philharmonic|Dixon, Dean, 1915-1976",1971 January 23,"Young People's Concert, page A",eng,"Program for performance of musical pieces, including Serenade for Orchestra, ""Presto,"" by Ulysses Kay.",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480048.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7362,1,0,original filename: 1202480047,printed ephemera,1972-04-18 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1972",,,,1972 April 18,"Tribute to Leopold Stokowski celebrating his 90th birthday, verso",eng,"Performances include Fanfare by Ulysses Kay
",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480047.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7361,1,0,original filename: 1202480046,printed ephemera,1972-04-18 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1972",,,,1972 April 18,"Tribute to Leopold Stokowski celebrating his 90th birthday, recto",eng,"Performances include Fanfare by Ulysses Kay.

Program recto missing photograph of Leopold Stokowski",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480046.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7360,1,0,original filename: 1202480045,printed ephemera,1972-11-17 1972-11-19,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1972","Jackson, Mississippi",,Opera/South (Firm),"November 17-19, 1972","Opera/South third season program, unnumbered page 8",eng,"Jackson State College, Utica Junior College, Tougaloo College; Opera/South in its third season for Mississippi Inter-Collegiate Opera Guild. Performances of Highway 1, U.S.A. by Williams Grant Still; The Juggler of Our Lady by Ulysses Kay; conductor, Margaret Harris. Cover includes portraits of Wilma Shakesnider, Marvin Wallace, Clyde Walker, and William Brown",,,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480045.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7359,1,0,original filename: 1202480044,printed ephemera,1972-11-17 1972-11-19,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1972",,,Opera/South (Firm),"November 17-19, 1972","Opera/South third season program, unnumbered page 7",eng,"Jackson State College, Utica Junior College, Tougaloo College; Opera/South in its third season for Mississippi Inter-Collegiate Opera Guild. Performances of Highway 1, U.S.A. by Williams Grant Still; The Juggler of Our Lady by Ulysses Kay; conductor, Margaret Harris. 

Pages 7 includes cast mini-biographies and portraits of Wilma Shakesnider, Marvin Wallace, Clyde Walker, and William Brown.","Shakesnider, Wilma |Wallace, Marvin|Walker, Clyde, 1901-1968|Brown, William, 1938-2004",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480044.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/the-juggler---program,,
7358,1,0,original filename: 1202480043,printed ephemera,1972-11-17 1972-11-19,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1972","Jackson, Mississippi",,Opera/South (Firm),"November 17-19, 1972","Opera/South third season program, unnumbered page 6",eng,"Jackson State College, Utica Junior College, Tougaloo College; Opera/South in its third season for Mississippi Inter-Collegiate Opera Guild. Performances of Highway 1, U.S.A. by Williams Grant Still; The Juggler of Our Lady by Ulysses Kay; conductor, Margaret Harris. 

Page 6: history of Opera/South company",Opera/South (Firm),,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480043.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/the-juggler---program,,
7357,1,0,original filename: 1202480042,printed ephemera,1972-11-17 1972-11-19,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1972","Jackson, Mississippi",,Opera/South (Firm),"November 17-19, 1972","Opera/South third season program, unnumbered pages 4 to 5",eng,"Jackson State College, Utica Junior College, Tougaloo College; Opera/South in its third season for Mississippi Inter-Collegiate Opera Guild. Performances of Highway 1, U.S.A. by Williams Grant Still; The Juggler of Our Lady by Ulysses Kay; conductor, Margaret Harris. 

Pages 4-5  include cast lists, portraits of Wilma Shakesnider, Marvin Wallace, Clyde Walker, and William Brown.","Kay, Ulysses, 1917-1995 |Still, William Grant, 1895-1978|Harris, Margaret, 1943-2000|Shakesnider, Wilma |Wallace, Marvin|Walker, Clyde, 1901-1968|Brown, William, 1938-2004",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480042.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/the-juggler---program,,
7356,1,0,original filename: 1202480041,printed ephemera,1972-11-17 1972-11-19,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1972","Jackson, Mississippi",,Opera/South (Firm),"November 17-19, 1972","Opera/South third season program, unnumbered pages 2 to 3",eng,"Jackson State College, Utica Junior College, Tougaloo College; Opera/South in its third season for Mississippi Inter-Collegiate Opera Guild. Performances of Highway 1, U.S.A. by Williams Grant Still; The Juggler of Our Lady by Ulysses Kay; conductor, Margaret Harris. 

Pages 2 and 3 include biographies and portraits of Wilma Shakesnider, Marvin Wallace, Clyde Walker, William Brown, Margaret Harris, and Donald Dorr. Includes biographies of Ulysses Kay and William Grant Still. Include synopses of The Juggler of Our Lady and Highway 1, U.S.A.","Kay, Ulysses, 1917-1995 |Still, William Grant, 1895-1978|Harris, Margaret, 1943-2000|Shakesnider, Wilma |Wallace, Marvin|Walker, Clyde, 1901-1968|Brown, William, 1938-2004|Dorr, Donald",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480041.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/the-juggler---program,,
7355,1,0,original filename: 1202480040,printed ephemera,1972-11-17 1972-11-19,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1972","Jackson, Mississippi",,Opera/South (Firm),"November 17-19, 1972","Opera/South third season program, front cover",eng,"Jackson State College, Utica Junior College, Tougaloo College; Opera/South in its third season for Mississippi Inter-Collegiate Opera Guild. Performances of Highway 1, U.S.A. by Williams Grant Still; The Juggler of Our Lady by Ulysses Kay; conductor, Margaret Harris. Cover includes portraits of Wilma Shakesnider, Marvin Wallace, Clyde Walker, and William Brown","Kay, Ulysses, 1917-1995 |Still, William Grant, 1895-1978|Harris, Margaret, 1943-2000|Shakesnider, Wilma |Wallace, Marvin|Walker, Clyde, 1901-1968|Brown, William, 1938-2004",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480040.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/the-juggler---program,,
7354,1,0,original filename: 1202480039,printed ephemera,1974-02-22 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1974","Washington, D.C.",,Library of Congress. McKim Fund,"February 22, 1974","McKim Fund program, unnumbered pages 2 to 3",eng,"Five Portraits for violin and piano, Ulysses Kay; performed by Ruggiero Ricci, Violin, and Leon Pommers, Piano. ","Kay, Ulysses, 1917-1995",,Government Printing Office,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480039.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/chamber-music/five-portraits-for-violin-and-,,
7353,1,0,original filename: 1202480038,printed ephemera,1974-02-22 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,"Programs, 1974","Washington, D.C.",,Library of Congress. McKim Fund ,"February 22, 1974","McKim Fund program, cover",eng,"Five Portraits for violin and piano, Ulysses Kay; performed by Ruggiero Ricci, Violin, and Leon Pommers, Piano. 

Front cover of program is also unnumbered page 1.","Ricci, Ruggiero, 1918-2012|Pommers, Leon ",,Government Printing Office,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480038.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/chamber-music/five-portraits-for-violin-and-,,
7352,1,0,original filename: 1202480037,printed ephemera,1978-11-12 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Programs 1978,New York,,"Abyssinian Baptist Church (New York, N.Y.)","November 12, 1978","Dedicatory Organ Recital program, verso",eng,"First Organ Suite, Ulysses Kay","Taylor, Herman",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480037.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/keyboard-music/organ-suite,,
7351,1,0,original filename: 1202480036,printed ephemera,1978-11-12 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Programs 1978,New York,,"Abyssinian Baptist Church (New York, N.Y.)","November 12, 1978","Dedicatory Organ Recital program, recto",eng,"First Organ Suite, Ulysses Kay","Taylor, Herman",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480036.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/keyboard-music/organ-suite,,
7350,1,0,original filename: 1202480035,printed ephemera,1976 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Misc. Box,"New York, New York",,"Broadcast Music, inc.",1976,"Ulysses Kay BMI, front cover",eng,,"Kay, Ulysses, 1917-1995",,"BMI, Broadcast Music, inc.",,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480035.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/broadcast-music--inc-/bmi-brochure,,
7349,1,0,original filename: 1202480034,photographs,1950 ,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,,1950,Ulysses Kay playing piano and writing on manuscript,eng,,"Kay, Ulysses, 1917-1995",Ulysses Kay Estate,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480034.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7348,1,0,original filename: 1202480033,photographs,1957-12 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,,1957 December,Ulysses Kay leaning on piano with manuscript,eng,,"Kay, Ulysses, 1917-1995",BMI,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480033.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7347,1,0,original filename: 1202480032,photographs,1979 ,inferred,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,,1979,Jersey Hours manuscript beside a photograph of Barbara Kay,eng,,"Kay, Barbara, 1925-1997|Jersey Hours",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480032.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/biography-and-kay-family/family,"Mary Gail Walker, Brevard Music Center, Brevard, North Carolina",
7346,1,0,original filename: 1202480031|Dates inferred from Ulysses Kay life dates.,photographs,1967 1995,in,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,,between 1967 and 1995,Ulysses Kay with Manuscripts on Clipboard,eng,,"Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480031.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/biography-and-kay-family/later-life,"Mary Gail Walker, Brevard Music Center, Brevard, North Carolina",
7345,1,0,original filename: 1202480030,photographs,1979 ,inferred,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,,1979,Ulysses Kay with manuscripts looking down,eng,,"Kay, Ulysses, 1917-1995","Mary Gail Walker, Brevard Music Center, Brevard, North Carolina",,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480030.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7344,1,0,original filename: 1202480029,photographs,1958 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,,1958,Ulysses Kay with other composers during trip to the U.S.S.R.,eng,,"Kay, Ulysses, 1917-1995|Mennin, Peter|Harris, Roy, 1898-1979|Sessions, Roger, 1896-1985",,HiFi Review,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480029.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/state-department-mission-to-u-/music-ambassadors,,
7343,1,0,original filename: 1202480028,photographs,1969-03 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,,Old Box 45,,,,1969 March,Photograph of Ulysses Kay with manuscripts,,,"Kay, Ulysses, 1917-1995",Newark Star Ledger,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480028.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7342,1,0,original filename: 1202480027,photographs,1950,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,,Old Box 45,,,,1950,"Photograph of Ulysses Kay, headshot",,,"Kay, Ulysses, 1917-1995","James J. Kreigsmann, New York",,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480027.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7341,1,0,original filename: 1202480026,photographs,1975 ,approximate,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,,1975,Headshot of Ulysses Kay,eng,Portrait photograph of Ulysses Kay,"Kay, Ulysses, 1917-1995",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480026.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/lehman-college/professor-of-music,Ulysses Kay Estate,
7340,1,0,original filename: 1202480025,photographs,1975-05 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,Cosmo Photography,May 1975,"Barbara and Ulysses Kay, with William Schuman",eng,"Barbara and Ulysses Kay with composer William Schuman, President Emeritus of the Juilliard School and of Lincoln Center, May 1975","Kay, Ulysses, 1917-1995|Kay, Barbara, 1925-1997|Schuman, William, 1910-1992",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480025.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/barbara-kay/oral-history,,
7339,1,0,original filename: 1202480024,photographs,1972 ,exact,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,"Rochester, New York",,,1972,Ulysses Kay receiving award from the University of Rochester,eng,"Ulysses Kay is shown here being given the Alumni Achievement Award in 1972 from the University of Rochester, where he had received his M.A. in music composition from the Eastman School of Music in 1940.","Kay, Ulysses, 1917-1995|University of Rochester ",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480024.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/prix-de-rome-and-other-honors/eastman-honors,,
7338,1,0,original filename: 1202480023|Date inferred from Ulysses Kay's life dates.,photographs,1955 1995,in,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,,between 1955 and 1995,Ulysses Kay with arms folded,eng,,"Kay, Ulysses, 1917-1995",M. J. Dain,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480023.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,,,
7337,1,0,original filename: 1202480022|Date inferred from Ulysses Kay life dates.,photographs,1990 1995,in,reformatted digital,"Rare Book and Manuscript Library, Columbia University",Ulysses Kay Papers,eng,Old Box 45,,,"Greenfield-Sanders, Timothy",between 1990 and 1995,Ulysses Kay with other members of the American Academy of Arts and Letters,eng,"Ulysses Kay was elected as a member of the American Academy of Arts and Letters in 1979. He is shown here in this photograph taken in the early 1990s, sitting to the right of his former teacher at Columbia, Otto Luening, and with Jack Beeson standing just above him, to the right.","Kay, Ulysses, 1917-1995|Luening, Otto, 1900-1996|Beeson, Jack, 1921-2010|American Academy of Arts and Letters ",,,,,http://ldpd.lampdev.columbia.edu/ulysses_kay_120248/1202480022.jpg,Still Image,Ulysses Kay: Twentieth Century Composer,https://exhibitions.cul.columbia.edu/exhibits/show/kay/prix-de-rome-and-other-honors/american-academy,,
