relatedItem_collection,name,nameType,nameRelator,name_authority,name_authority_identifier,name 2,nameType 2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,nameType 3,nameRelator 3,name_authority 3,name_authority_identifier 3,keyDate -_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,Source,citation,physicalLocation,physicalLocation_authority,shelfLocator,shelfLocator 2,sublocation,note,note 2,note_filename,note_filename 2,note_filename 3,note_filename 4,note_filename 5,note_filename 6,note_filename 7,note_filename 8,note_filename 9,note_filename 10,note_filename 11,note_filename 12,digitalOrigin,extent,extent 2,form,form_authority,form 2,form_authority 2,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,note_relatedItem,subject_topic,subject_topic_authority,subject_topic_authority_identifer,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,title_nonsort,title1,identifier_title,partName,title2,title2_type
Incunabula ,"Peter Lombard, Bishop of Paris, ca. 1100-1160",,,,,,,,,,,,,,,1477-03-10 ,,ex,"March 10, 1477",,0,1,CLIO id: 1638076,146,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-3,,,nnc-rb,,Goff P-480,,,original filename: plmptn_044_001,,plmptn_044_001.jpg,,,,,,,,,,,,rd,page II,1 image,manuscripts,,,,Venice,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Vindelinus de Spira,eng,,Theology,,,,,,,,,,,,,,,,,,,Sententiarum Libri IV ,,,,
Plimpton ,"Brechtl, Stephan, 1523-1574",,,,,,,,,,,,,,,1550 ,,ex,1550,,0,1,,147,,,,ger,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-1, ,,nnc-rb,,Plimpton MS 300,,,original filename: plmptn_068_001,,plmptn_068_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Nuremberg,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Calligraphy,,,,,,,,,,,,,,,,,,,Gruenndtlich Formular manncherley Art Lateinischer unnd Teutscher Handschrifften,,,Calligraphy Manuscript book on paper and on parchment ,
Plimpton ,"Priscian, fl. ca. 500-530?",,,,,,,,,,,,,,,1450 1499,,ap,Third quarter of the 15th century,,0,1,,148,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-3,,,nnc-rb,,Plimpton MS 144,,,original filename: plmptn_035_001,,plmptn_035_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,manuscripts,,,,Italy,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Latin language--Grammar,,,,,,,,,,,,,,,,,,,Latin Grammar ,,,,
Plimpton ,"Latini, Brunetto, 1220-1295",,,,,,,,,,,,,,,1400 1450,,ap,First half of the 15th century,,0,1,,149,,,,fre,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/encyclopedias/page-1,,,nnc-rb,,Plimpton MS 281,,,original filename: plmptn_003_001,,plmptn_003_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,manuscripts,,,,France,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,"Encyclopedias and dictionaries, French",,,,,,,,,,,,,,,,,,,Trésor ,,,,
,Aristotle,,,,,,,,,,,,,,,1619 ,,ex,1619,,0,1,,150,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-4,,,nnc-rb,,,,,original filename: plmptn_021_001,,plmptn_021_001.jpg,,,,,,,,,,,,rd,2 page,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Edward Griffin,eng,,"Rhetoric, Ancient",,,,,,,,,,,,,,,,,,,"De Rhetorica Seu de Arte Dicendi Libri Tres, Graecolat ",,,Aristotelous Technēs rhētorikēs biblia tria,
Plimpton ,"Bruyset, Jean Marie, 1749-1817",,,,,,,,,,,,,,,1790 ,,ex,1790,,0,1,,152,,,,fre,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-4,,,nnc-rb,,Plimpton 910 1790,,,original filename: plmptn_058_001,,plmptn_058_001.jpg,,,,,,,,,,,,rd," frontispiece, title page",1 image,books,,,,Lyon,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,Jean-Marie Bruyset,eng,,Geography,,,,,,,,,,,,,,,,,,,"Atlas des Enfans, ou, Nouvelle Méthode pour Apprendre la Géographie ",,,Nouvelle Méthode pour Apprendre la Géographie,
Incunabula ,"Pius II, Pope, 1405-1464",,,,,"Vladislav II, King of Bohemia and Hungary, 1456-1516",,,,,,,,,,1470 ,,ap,circa 1470,,0,1,CLIO id: 1638086,153,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-2,,,nnc-rb,,Goff P691,,,original filename: plmptn_018_001,,plmptn_018_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Cologne,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Ulrich Zel,eng,,Education,,,,,,,,,,,,,,,,,,,De Educatione Puerorum ad Regem Bohemiae Ladislaum ,,,,
Plimpton Papers ,Ginn and Company,,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1900-12 ,,ap,Dec. 1900,,0,1,,154,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-2,,,nnc-rb,,,,,original filename: plmptn_154_001,,plmptn_154_001.jpg,,,,,,,,,,,,rd,1 page,1 image,printed ephemera,,,,Boston?,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Ginn and Company,eng,,"Plimpton, Frances Taylor Pearsons, 1861-1900",,,,,,,,,,,,,,,,,,,This office will be closed…on account of the death of Mrs. George A. Plimpton,,,,
Plimpton,"Bingham, Caleb, 1757-1817",,,,,,,,,,,,,,,1792 ,,ex,1792,,0,1,,155,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-3,Plimpton A424 1792 B52 ,,nnc-rb,,Plimpton A424 1792 B52,,,original filename: plmptn_128_001,,plmptn_128_001.jpg,,,,,,,,,,,,rd,title page,1 image,books,,,,Boston,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,I. Thomas and E. T. Andrews,eng,,English language--Grammar,,,,,,,,,,,,,,,,,,,"Young Lady's Accidence, or, A short and easy introduction to English grammar",,,Short and easy introduction to English grammar,
Plimpton ,"Huntington, Eleazer, 1789-1852",,,,,,,,,,,,,,,1824 ,,ex,1824,,0,1,CLIO id: 1808636,156,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-3,,,nnc-rb,,PLIMP A091 1824 H92,,,original filename: plmptn_073_001,,plmptn_073_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,"Hartford, Conn.",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,E. Huntington,eng,,Penmanship,,,,,,,,,,,,,,,,,,,"American Penman, Comprising the Art of Writing, Plain and Ornamental ",,,Huntington's American penman,
Incunabula ,Euclid,,,,,,,,,,,,,,,1482-05-25 ,,ex,"May 25, 1482",,0,1,CLIO id: 1079995,157,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-2,,,nnc-rb,,PLIMPTON Goff E 113,,,original filename: plmptn_031_001,,plmptn_031_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Venice,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Erhard Ratdolt,eng,,Geometry,,,,,,,,,,,,,,,,,,,Elementa Geometriae ,,,,
Plimpton,,,,,,,,,,,,,,,,,,ap,circa 1820-1762 BCE,,0,1,,158,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-2, ,,nnc-rb,,,,,original filename: plmptn_093_001,,plmptn_093_001.jpg,,,,,,,,,,,,rd,1 cuneiform tablet ,1 image,objects,,,,"Larsa (Tell Senkereh), Iraq",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Mathematics,,,,,,,,,,,,,,,,,,,Cuneiform tablet ,,,,
Plimpton ,"Sequoyah, 1770?-1843",,,,,,,,,,,,,,,1835 ,,ap,circa 1835,,0,1,CLIO id: 3188778,159,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-4,,,nnc-rb,,A497 1835 Se6 ,,,original filename: PLMPTN_060_001,,PLMPTN_060_001.jpg,,,,,,,,,,,,rd,1 page,1 image,printed ephemera,,,,"Union Mission, Okla",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Samuel Worcester,eng,,Cherokee language--Alphabet,,,,,,,,,,,,,,,,,,,Cherokee alphabet ,,,,
Incunabula ,Pseudo-Boethius,,,,,"Thomas, de Cantimpré, ca. 1200-ca. 1270",,,,,,,,,,1491-02-01 ,,ex,"Feb. 1, 1491",,0,1,CLIO id: 1623898,160,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-3,,,nnc-rb,,Goff B822,,,original filename: plmptn_019_001,,plmptn_019_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Strasbourg,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printer of the 1483 Jordanus de Quedlinburg (Georg Husner),eng,,Education,,,,,,,,,,,,,,,,,,,De Disciplina Scholarium ,,,,
Plimpton,"Platearus, Petrus, 16th cent.",,,,,,,,,,,,,,,1544 ,,ap,circa 1544,,0,1,CLIO id: 3036072,161,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/primers/page-1,,,nnc-rb,,PLIMP 372 1544  T11,,,original filename: plmptn_056_001,,plmptn_056_001.jpg,,,,,,,,,,,,rd,1 page,1 image,printed ephemera,,Primers,,Leipzig,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Valentin Babst,eng,,,,,,,,,,,,,,,,,,,,,Tabvlae Abcdariae Pveriles ,,,,
Plimpton Hornbooks ,,,,,,,,,,,,,,,,1700 1799,,ap,18th century,,0,1,,162,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1,,,nnc-rb,,,,,original filename: plmptn_114_001,,plmptn_114_001.jpg,,,,,,,,,,,,rd,1 hornbook mould,1 image,objects,,,,England,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,,,,,,,,,,,,,,,,,,,,Hornbook mould ,,,,
Plimpton,"Arrighi, Ludovico degli",,,,,,,,,,,,,,,1522 ,,ex,1522,,0,1,CLIO id: 6191099,145,,,,ita,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-1,,,nnc-rb,,Plimpton 095 1522 L96,,,original filename: plmptn_064_001,,plmptn_064_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Roma,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Penmanship,,,,,,,,,,,,,,,,,,,Operina di Ludouico Vicentino ,,,,
Plimpton,Catholic Church,,,,,Iohannes de Havere,,,,,,,,,,1351 ,,ex,1351,,0,1,CLIO id: 4079845,144,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-1,,,nnc-rb,,Plimpton MS 34,,,original filename: plmptn_011_001,,plmptn_011_001.jpg,,,,,,,,,,,,rd,1 page,1 image,music,,,,Flanders,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,"Processions, Religious--Catholic Church",,,,,,,,,,,,,,,,,,,Processional ,,,Processional Manuscript book on parchment ,
,"Elyot, Thomas, Sir, 1490?-1546",,,,,,,,,,,,,,,1557 ,,ex,1557,,0,1,CLIO id: 6196599,126,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-2,,,nnc-rb,,Plimpton 370 1557 El9,,,original filename: PLMPTN_052_001,,PLMPTN_052_001.jpg,,,,,,,,,,,,rd,title page,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Thomas Marsh,eng,,Kings and rulers--Duties,,,,,,,,,,,,,,,,,,,Boke Named the Governour ,,,,
,"Plimpton, George A. (George Arthur),  1855-1936",,,,,,,,,,,,,,,1933 ,,ex,1933,,0,1,CLIO id: 4587434,127,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-1,,,nnc-rb,,,,,original filename: PLMPTN_160_001,,PLMPTN_160_001.jpg,,,,,,,,,,,,rd,cover,1 image,books,,,,London & New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,Oxford University Press,eng,,"Shakespeare, William, 1564-1616",,,,,,,,,,,,,,,,,,,Education of Shakespeare:  Illustrated from the Schoolbooks in Use in his Time,,,,
,"Lily, William, 1468?-1522",,,,,,,,,,,,,,,1525 ,,qu,circa 1525?,,0,1,,128,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-2,,,nnc-rb,,Plimpton 470 1525 L62 (STC 15609.5),,,original filename: plmptn_047_001,,plmptn_047_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Peter Treveris,eng,,Latin language--Grammar,,,,,,,,,,,,,,,,,,,Guillelmi Lilij Angli Rudimenta ,,,,
,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,,,,,,1901 1936,,ap,Early 20th century?,,0,1,,129,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-1,,,nnc-rb,,,,,Plimpton Papers,original filename: plmptn_110_001,plmptn_110_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Massachusetts?,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Women--Education,,,,,,,,,,,,,,,,,,,"Education of Women: Earliest Period, c. 300-1450",,,Education of women--five parts,
,"Butler, Charles, d. 1647",,,,,,,,,,,,,,,1636 ,,ex,1636,,0,1,CLIO id: 6182617,130,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-3,,,nnc-rb,,PLIMPTON 424 1636 B97,,,original filename: PLMPTN_050_001,,PLMPTN_050_001.jpg,,,,,,,,,,,,rd,page [92]-93,1 image,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,"Printed by Iohn Haviland, for the Author",eng,,Music theory,,,,,,,,,,,,,,,,,,,"Principles of Musik, in Singing and Setting : vvith the Two-Fold Use Therof, Ecclesiasticall and Civil ",,,,
,"Lewis Farm (Walpole, Mass.)",,,,,,,,,,,,,,,1901 1949,,ap,First half of 20th century?,,0,1,,131,,,,eng,,,,nnc-rb,,,,,original filename: plmptn_102_001,,plmptn_102_001.jpg,,,,,,,,,,,,rd,1 page,1 image,printed ephemera,,,,"Walpole, Massachusetts",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,,eng,,"Lewis Farm (Walpole, Mass.)",,,,,,,,,,,,,,,,,,,Lewis Farm Letterhead ,,,,
Plimpton ,"Priscian, fl. ca. 500-530",,,,,,,,,,,,,,,1250 1299,,ap,Second half of the 13th century,,0,1,,132,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-2,,,nnc-rb,,Plimpton MS 132,,,original filename: plmptn_009_001,,plmptn_009_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Italy,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Latin language--Grammar,,,,,,,,,,,,,,,,,,,De Constructione ,,,,
,,,,,,,,,,,,,,,,1600 1699,,ap,17th century?,,0,1,,133,,,,spa,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1,,,nnc-rb,,,,,original filename: plmptn_116_001,,plmptn_116_001.jpg,,,,,,,,,,,,rd,1 hornbook,1 image,objects,,Hornbooks,,Mexico?,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,London ,eng,,,,,,,,,,,,,,,,,,,,,Hornbook,,,,
Plimpton ,"Artaud, fl. 1696-1700",,,,,,,,,,,,,,,1696 ,,ex,1696,,0,1,,134,,,,fre,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-3,,,nnc-rb,,Plimpton 443 1696 Ar7,,,original filename: plmptn_062_001,,plmptn_062_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Bruxelles [i.e. Paris],,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,François Foppens,eng,,French language--Slang,,,,,,,,,,,,,,,,,,,"Dictionaire des Halles, ou,  Extrait du Dictionnaire de l’Academie Françoise ",,,,
Incunabula ,"Caxton, William,  ca. 1422-1491 or 2",,,,,,,,,,,,,,,1481 ,,ex,1481,,0,1,CLIO id: 1079741,135,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-3,,,nnc-rb,,Goff M883,,,"original filename:     plmptn_027_001,
 plmptn_027_002.jpg

",,plmptn_027_001.jpg,plmptn_027_002.jpg,,,,,,,,,,,rd,2 pages,2 images,books,,,,Westminster,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of Mrs. Francis T. P. Plimpton in Honor of The Opening of the Rare Book & Manuscript Library,William Caxton,eng,,Earth,,,,,,,,,,,,,,,,,,,Myrrour of the Worlde ,,,,
Plimpton,"Plimpton, George A. (George Arthur),  1855-1936",,,,,,,,,,,,,,,1930 1936,,ap,circa 1930,,0,1,,136,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-1,,,nnc-rb,,,,,original filename: plmptn_143_001,,plmptn_143_001.jpg,,,,,,,,,,,,rd,1 photoprint,1 image,photographs,,Portraits,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,,eng,,"Plimpton, George A. (George Arthur),  1855-1936",,,,,,,,,,,,,,,,,,,Portrait of George Arthur Plimpton as older man,,,George Arthur Plimpton,
Plimpton,"Darwin, Erasmus, 1731-1802",,,,,,,,,,,,,,,1797 ,,ex,1797,,0,1,CLIO id: 6182023,138,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-3,,,nnc-rb,,Plimpton 376 1797 D25,,,"original filenames: plmptn_132_001,
plmptn_132_002",,plmptn_132_001.jpg,plmptn_132_002.jpg,,,,,,,,,,,rd,"frontispiece, title page",2 images,books,,,,Derby,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed by J. Drewey for J. Johnson,eng,,Women--Education,,,,,,,,,,,,,,,,,,,Plan for the Conduct of Female Education in Boarding Schools,,,Female education,
Plimpton Coll File,"Plimpton, George A. (George Arthur),  1855-1936",,,,,,,,,,,,,,,1916 1919,,ap,circa 1916,,0,1,CLIO id: 3387765,140,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1, ,,nnc-rb,,SMITH 096 1916 P71,,,original filename: plmptn_112_001,,plmptn_112_001.jpg,,,,,,,,,,,,rd,cover,1 image,books,,Hornbooks,,Boston,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,Ginn & Company,eng,,,,,,,,,,,,,,,,,,,,,"Marks of Merit, Together with an article on Hornbooks and their use in America ",,,,
Plimpton ,"Lewis, Priscilla G.",,,,,,,,,,,,,,,1835-12-16 ,,ex,"Dec. 16, 1835",,0,1,,141,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/handwriting/page-4,,,nnc-rb,,Plimpton MS 091 1835,,,original filename: plmptn_075_001,,plmptn_075_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,"Walpole, Massachusetts",,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Penmanship,,,,,,,,,,,,,,,,,,,Penmanship,,,,
Plimpton Family Papers,Oxford University Press ,,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1935 ,,ex,1935,,0,1,,142,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-1,,,nnc-rb,,,,,"original filenames: plmptn_104_001,  plmptn_104_002, plmptn_104_003

",,plmptn_104_001.jpg,plmptn_104_002.jpg,plmptn_104_003.jpg,,,,,,,,,,rd,3 pages,3 images,printed ephemera,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Oxford University Press,eng,,"Plimpton, George A. (George Arthur), 1855-1936",,,Education--England--History,,,,,,,,,,,,,,,,Announcement of Education of Chaucer ,,,"Education of Chaucer, the opinion of an outstanding authority",
Plimpton,Nicolas d'Orbelles,,,,,,,,,,,,,,,1478 ,,ex,1478,,0,1,,143,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-2,,,nnc-rb,,Plimpton MS 200,,,Plimpton item 125,original filename: plmptn_125_001,plmptn_125_001.jpg,,,,,,,,,,,,rd,1 page,1 image,manuscripts,,,,Germany,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Aristotle,,,Philosophy,,,,,,,,,,,,,,,,Commentaries on Aristotle,,,,
Astrolabe,,,,,,,,,,,,,,,,,,ex,,,0,1,,176,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/mathematics/page-3,Astrolabe ,,nnc-rb,,,,,Original filename:  plmpton_081_001.tif,,plmptn_081_001.jpg,,,,,,,,,,,,rd,1 astrolabe,1 image,objects,,,,,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,,,eng,,,,,,,,,,,,,,,,,,,,,George A. Plimpton's astrolabe,,,Mr. Plimpton's astrolabe,
Plimpton,Pseudo-Seneca,,,,,,,,,,,,,,,1475 1499,,ap,Third quarter of the 15th century,,0,1,,81,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-3,,,nnc-rb,,Plimpton MS 115,,,original filename: plmptn_022_001,,plmptn_022_001.jpg,,,,,,,,,,,,rd,pages [44]-45,1 image,manuscripts,,,,Italy,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Rhetoric,,,,,,,,,,,,,,,,,,,De Verborum Copia ,,,,
Plimpton Papers,"Butler, Nicholas Murray, 1862-1947",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1929-03-04 ,,ex,"March 4, 1929",,0,1,,1,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-3,,,nnc-rb,,,,,"original filenames:
plmptn_109_001
plmptn_109_002
plmptn_109_003",,plmptn_109_001.jpg,plmptn_109_002.jpg,plmptn_109_003.jpg,,,,,,,,,,rd,"2 pages, 1 envelope",3 images,correspondence,,,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,,,,,,,,,,"Letter to George Arthur Plimpton regarding honorary degree, March 4, 1929",,,,
,"Elyot, Thomas, Sir, 1490?-1546.",,,,,,,,,,,,,,,1557 ,,ex,1557,,0,1,CLIO id: 6196599,22,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-2,,,nnc-rb,,Plimpton 370 1557 EL9 (STC 7640),,,"original filenames: 
PLMPTN_053_001
PLMPTN_053_002",,PLMPTN_053_001.jpg,PLMPTN_053_002.jpg,,,,,,,,,,,rd,"title page, page 25",2 images,books,,,,London,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Thomas Marsh,eng,,Kings and rulers--Duties,,,,,,,,,,,,,,,,,,,"Boke, Named the Governour",,,,
Plimpton ,"Morse, Jedidiah, 1761-1826",,,,,,,,,,,,,,,1789 ,,ex,1789,,0,1,,23,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-4,,,nnc-rb,,Plimpton A910 1789 M83,,,original filename: plmptn_057_001,,plmptn_057_001.jpg,,,,,,,,,,,,rd,1 page,1 image,books,,,,Elizabethtown,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Printed by Shepard Kollock for the Author,eng,,United States--Description and travel,,,,,,,,,,,,,,,,,,,"American Geography: or, A View of the Present Situation of the United States of America. Containing Astronomical Geography. Geographical Definitions. Discovery, and General Description of America",,,,
Incunabula ,"Widmann, Johannes, ca. 1460-ca. 1500?",,,,,,,,,,,,,,,1490 1495,,ap,circa 1490-1495,,0,1,CLIO id: 1623592,24,,,,lat,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-5,,,nnc-rb,,Incunabula Goff A-461,,,original filename: plmptn_033_001,,plmptn_033_001.jpg,,,,,,,,,,,,rd,2 pages,1 image,books,,,,Leipzig,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,Martin Landsberg,eng,,Mathematics,,,,,,,,,,,,,,,,,,,Algorithmus Integrorum cum Probis Annexis ,,,,
Plimpton Papers,"Holt, Hamilton, 1872-1951",,,,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,,,1917-01-09 ,,ex,"Jan. 9, 1917",,0,1,,25,,,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,,,nnc-rb,,,,,original filename: plmptn_138_001,,plmptn_138_001.jpg,,,,,,,,,,,,rd,1 page,1 image,correspondence,,Telegraph,,New York,,,"""Our Tools of Learning"" : George Arthur Plimpton's Gifts to Columbia University",,Gift of George Arthur Plimpton,,eng,,Peace,,,,,,,,,,,,,,,,,,,"Telegram to George Arthur Plimpton, 9 January 1917",,,,
