note-1:note_value,note-1:note_type,_project.string_key,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,title-1:title_sort_portion,alternative_title-1:alternative_title_value,extent-1:extent_value,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,type_of_resource-1:type_of_resource_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,note-2:note_value,note-2:note_type,note-3:note_value,note-4:note_value,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-1:location_term.value,location-1:location_term.uri,digital_origin-1:digital_origin_value,publisher-1:publisher_value,clio_identifier-1:clio_identifier_value,abstract-1:abstract_value,restriction_on_access-1:restriction_on_access_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,date_created-1:date_created_end_value,date_created-1:date_created_type,place_of_origin-1:place_of_origin_value,place_of_origin-2:place_of_origin_value,name-1:name_term.value,name-1:name_term.uri,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_usage_primary,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.authority,name-2:name_term.value,name-2:name_term.uri,name-2:name_term.authority,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.authority,subject_geographic-1:subject_geographic_term.value,_publish_targets-1.string_key,_publish
plmptn_111_001.jpg,filename,plimpton,asset,plimpton_ejl_001,plimpton_ejl_000,Front cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_ert_000,,De Disciplina Scholarium,,1 page,160,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-3,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,Gift of George Arthur Plimpton,provenance,,,Incunabula,http://id.library.columbia.edu/term/cd159e65-2e5d-4f89-8b38-a5696a90678f,,,,,,,Goff B822,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Printer of the 1483 Jordanus de Quedlinburg (Georg Husner),1623898,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,"February 1, 1491",1491-02-01,TRUE,,,Strasbourg (France),,Pseudo-Boethius,http://id.loc.gov/authorities/names/no93029946,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,"Thomas, de Cantimpré, approximately 1200-approximately 1270",http://id.loc.gov/authorities/names/n89642958,naf,personal,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,Education,http://id.worldcat.org/fast/902499,fast,,,,,,,,
plmptn_019_001.jpg,filename,plimpton,asset,plimpton_ert_001,plimpton_ert_000,1 unnumbered page verso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_ewu_000,,Lewis Farm Letterhead,,1 page,131,,printed ephemera,http://vocab.getty.edu/aat/300264821,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,,,,,Plimpton Family Papers,http://id.library.columbia.edu/term/52d332f4-f804-4b5f-8d2f-e94d152e2c05,,,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,First half of 20th century?,1901,TRUE,1949,approximate,Walpole (Mass.),,"Lewis Farm (Walpole, Mass.)",,,corporate,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,"Lewis Farm (Walpole, Mass.)",,,corporate,,,,,,,,,,,
plmptn_102_001.jpg,filename,plimpton,asset,plimpton_ewu_001,plimpton_ewu_000,Lewis Farm Letterhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_eww_000,,"Letter to George A. Plimpton, April 3, 1902",,4 pages,8,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/women/page-1,correspondence,http://vocab.getty.edu/aat/300026877,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,George A. Plimpton Papers,http://id.library.columbia.edu/term/2866b2fc-5f81-4cd5-8b83-a46215636764,series,1,I: Correspondence and Personal Documents,subseries,2,"1: Cataloged Correspondence, 1876-1936",,1,5,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,"April 3, 1902",1902-04-03,TRUE,,,New York,,"Brownell, S. B.",,,personal,TRUE,Correspondent,http://id.loc.gov/vocabulary/relators/crp,marcrelator,"Plimpton, George A. (George Arthur), 1855-1936",http://id.loc.gov/authorities/names/n90711393,naf,personal,Addressee,http://id.loc.gov/vocabulary/relators/rcp,marcrelator,,,,,Women--Education,http://id.worldcat.org/fast/1176670,fast,,,,,,,,
plmptn_107_001.jpg,filename,plimpton,asset,plimpton_eww_001,plimpton_eww_000,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_107_002.jpg,filename,plimpton,asset,plimpton_eww_002,plimpton_eww_000,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_107_003.jpg,filename,plimpton,asset,plimpton_eww_003,plimpton_eww_000,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_107_004.jpg,filename,plimpton,asset,plimpton_eww_004,plimpton_eww_000,Page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_exj_000,,"Account book of slave trading expedition, 1791-1792",,2 pages,31,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/slavery/page-1,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,Plimpton Slavery Collection,,George A. Plimpton Papers,http://id.library.columbia.edu/term/2866b2fc-5f81-4cd5-8b83-a46215636764,series,1,VI: Collecting,,,,,58,2,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1791-1792,1791,TRUE,1792,,South Carolina?,,"Johnston, John",,,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Slavery,http://id.worldcat.org/fast/1120426,fast,,,,,,,,
plmptn_120_001.jpg,filename,plimpton,asset,plimpton_exj_001,plimpton_exj_000,2 unnumbered pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_ezp_000,,Friends of the Library of Columbia University,,4 pages,91,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/friends/page-1,printed ephemera,http://vocab.getty.edu/aat/300264821,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,Plimpton Family Papers,http://id.library.columbia.edu/term/52d332f4-f804-4b5f-8d2f-e94d152e2c05,series,1,"I: Correspondence, 1848-1994, undated",subseries,2,"I.2: Plimpton, George Arthur,1892-1941",,9,1,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Columbia University,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1933,1933,TRUE,,,New York,,Friends of the Columbia Libraries,http://id.loc.gov/authorities/names/nr89013121,naf,corporate,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,Friends of the Columbia Libraries,http://id.loc.gov/authorities/names/nr89013121,naf,corporate,,,,,,,,,,,
plmptn_097_001.jpg,filename,plimpton,asset,plimpton_ezp_001,plimpton_ezp_000,Front cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_097_002.jpg,filename,plimpton,asset,plimpton_ezp_002,plimpton_ezp_000,Image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_097_003.jpg,filename,plimpton,asset,plimpton_ezp_003,plimpton_ezp_000,Image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_097_004.jpg,filename,plimpton,asset,plimpton_ezp_004,plimpton_ezp_000,Image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_ffm_000,,"Gramaticall Cards, Comprising the Generall Rules of Lilley’s Gramer",,6 cards,13,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-3,playing cards,http://id.loc.gov/vocabulary/graphicMaterials/tgm007907,gmgpc,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,52 cards. Imperfect: 2 cards missing (10 of clubs; 8 of diamonds),,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton 478 1700 L54,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Sold by John Lenthall Stationer,,52 cards. Imperfect: 2 cards missing (10 of clubs; 8 of diamonds),,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,Circa 1700,1698,TRUE,1702,approximate,London (England),,"Lenthall, John, 1683-1765",http://id.loc.gov/authorities/names/nr93000086,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,"Lily, William, 1468?-1522",http://id.loc.gov/authorities/names/n50050167,naf,personal,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,Latin language--Grammar,http://id.worldcat.org/fast/993167,fast,,,,,,,,
plmptn_049_001.jpg,filename,plimpton,asset,plimpton_ffm_001,plimpton_ffm_000,"1 of clubs front, 2 of spades front, 5 of spades front, Queen of diamonds front, King of hearts front, Use card front",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_ffu_000,,"New Dictionary of the Terms Ancient and Modern of the Canting Crew in its several tribes, of gypsies, beggars, thieves, cheats, &c",,1 page,78,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/early-modern/page-3,books,http://vocab.getty.edu/aat/300028051,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton 364 1698 N42,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,"Printed for W. Hawes, P. Gilbourne, and W. Davis",6196507,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,"Bookseller's notes indicate 19th century reprint, in boards, with paper label dated 1690",1800,TRUE,1899,approximate,London (England),,B. E.,http://id.loc.gov/authorities/names/n85196953,naf,personal,TRUE,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,,,,,,,,,,,,English language--Slang,http://id.worldcat.org/fast/911645,fast,,,,,,,,
plmptn_055_001.jpg,filename,plimpton,asset,plimpton_ffu_001,plimpton_ffu_000,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_fou_000,,Thanksgiving 1934,,1 photoprint,67,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-5,photographs,http://vocab.getty.edu/aat/300046300,aat,still image,,,,Gift of George Arthur Plimpton,provenance,"Plimpton Family, photos, extended family",,Plimpton Family Papers,http://id.library.columbia.edu/term/52d332f4-f804-4b5f-8d2f-e94d152e2c05,,,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,November 1934,1934-11,TRUE,,,Walpole (Mass.),,"Plimpton, George A. (George Arthur), 1855-1936",http://id.loc.gov/authorities/names/n90711393,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,Plimpton family,http://id.worldcat.org/fast/262184,fast,personal,,,,,,,,,,,
plmptn_156_001.jpg,filename,plimpton,asset,plimpton_fou_001,plimpton_fou_000,Thanksgiving 1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_fpi_000,,Myrrour of the Worlde,,2 pages,135,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-trivium/page-3,books,http://vocab.getty.edu/aat/300028051,aat,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of Mrs. Francis T. P. Plimpton in Honor of The Opening of the Rare Book & Manuscript Library,provenance,,,Incunabula,http://id.library.columbia.edu/term/cd159e65-2e5d-4f89-8b38-a5696a90678f,,,,,,,Goff M883,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,William Caxton,1079741,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1481,1481,TRUE,,,"Westminster (London, England)",,"Caxton, William, approximately 1422-1491 or 1492",http://id.loc.gov/authorities/names/n79007370,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,,,,,,,,,,,
plmptn_027_001.jpg,filename,plimpton,asset,plimpton_fpi_001,plimpton_fpi_000,Unnumbered page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_027_002.jpg,filename,plimpton,asset,plimpton_fpi_002,plimpton_fpi_000,Unnumbered page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_fvk_000,,On Collecting,It has been my pleasure,1 page,96,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-1,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng.html,Gift of George Arthur Plimpton,provenance,,,George A. Plimpton Papers,http://id.library.columbia.edu/term/2866b2fc-5f81-4cd5-8b83-a46215636764,,,,,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,First third of 20th century?,1900,TRUE,1936,approximate,,,"Plimpton, George A. (George Arthur), 1855-1936",http://id.loc.gov/authorities/names/n90711393,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Book collecting,http://id.worldcat.org/fast/836132,fast,,,,,,,,
plmptn_134_001.jpg,filename,plimpton,asset,plimpton_fvk_001,plimpton_fvk_000,1 unnumbered page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_fyf_000,,Hornbook,,1 hornbook,133,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/hornbooks/page-1,objects,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,gmgpc,three dimensional object,,,,Gift of George Arthur Plimpton,provenance,,,George A. Plimpton Papers,http://id.library.columbia.edu/term/2866b2fc-5f81-4cd5-8b83-a46215636764,,,,,,,Hornbook No. 19,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,London,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,17th century?,1600,TRUE,1699,approximate,Mexico?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plmptn_116_001.jpg,filename,plimpton,asset,plimpton_fyf_001,plimpton_fyf_000,Hornbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_gfn_000,,Kitab al-Mutawassitat,"Book of ""The Middle Books""",2 pages,94,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-2,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,text,Arabic,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/ara,Gift of George Arthur Plimpton,provenance,,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,,,,,,,Oriental MS Plimpton 306,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,15th to 18th centuries,1400,TRUE,1799,approximate,,,,,,,,,,,,,,,,,,,,,,Mathematics,http://id.worldcat.org/fast/1012163,fast,,,,,,,,
plmptn_032_001.jpg,filename,plimpton,asset,plimpton_gfn_001,plimpton_gfn_000,2 unknown pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_gid_000,,"Photo of Pauline Ames and Francis T.P. Plimpton and children, 1937",,1 photoprint,95,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-5,photographs,http://vocab.getty.edu/aat/300046300,aat,still image,,,,Gift of Mrs. Francis T.P. Plimpton,provenance,,,Plimpton Family Papers,http://id.library.columbia.edu/term/52d332f4-f804-4b5f-8d2f-e94d152e2c05,series,1,"V: Photographs and Images, circa 1870s-1990s, undated",subseries,2,"V.2: Photographs and Negatives, circa, 1870s-1980s",,38,8,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,1937,1937,TRUE,,,,,"Plimpton, Francis T. P. (Francis Taylor Pearsons), 1900-1983",http://id.loc.gov/authorities/names/n85106396,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,"Plimpton, Pauline Ames, 1901-",http://id.loc.gov/authorities/names/n80051033,naf,personal,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,Plimpton family,http://id.worldcat.org/fast/262184,fast,personal,,,,,,,,,,,
plmptn_095_001.jpg,filename,plimpton,asset,plimpton_gid_001,plimpton_gid_000,"Photo of Pauline Ames and Francis T.P. Plimpton and children, 1937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_gjj_000,,Algorithmus Integrorum cum Probis Annexis,,2 pages,24,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/medieval-quadrivium/page-5,books,http://vocab.getty.edu/aat/300028051,aat,text,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,Gift of George Arthur Plimpton,provenance,,,Incunabula,http://id.library.columbia.edu/term/cd159e65-2e5d-4f89-8b38-a5696a90678f,,,,,,,Goff A461,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Martin Landsberg,1623592,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,circa 1490-1495,1490,TRUE,1495,approximate,Leipzig (Germany),,"Widmann, Johannes, approximately 1460-approximately 1500",http://id.loc.gov/authorities/names/n88085438,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,Mathematics,http://id.worldcat.org/fast/1012163,fast,,,,,,,,
plmptn_033_001.jpg,filename,plimpton,asset,plimpton_gjj_001,plimpton_gjj_000,Page 5 verso - page 6 recto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_gse_000,,Amherst Class of 1876,,1 photoprint,6,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/george-arthur-plimpton/page-4,photographs,http://vocab.getty.edu/aat/300046300,aat,still image,,,,Gift of George Arthur Plimpton,provenance,,,Plimpton Family Papers,http://id.library.columbia.edu/term/52d332f4-f804-4b5f-8d2f-e94d152e2c05,series,1,"V: Photographs and Images, circa 1870s-1990s, undated",subseries,2,"V.2: Photographs and Negatives, circa, 1870s-1980s",,33,14,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,,,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,circa 1933,1932,TRUE,1934,approximate,Amherst (Mass.),,Amherst College,http://id.loc.gov/authorities/names/n79109792,naf,corporate,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,Amherst College,http://id.loc.gov/authorities/names/n79109792,naf,corporate,,,,,,,,,,,
plmptn_162_001.jpg,filename,plimpton,asset,plimpton_gse_001,plimpton_gse_000,Amherst Class of 1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Access,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plimpton,item,plimpton_gze_000,,Tabvlae Abcdariae Pveriles,,1 page,161,https://exhibitions.cul.columbia.edu/exhibits/show/plimpton/primers/page-1,printed ephemera,http://vocab.getty.edu/aat/300264821,aat,three dimensional object,,,,Gift of George Arthur Plimpton,provenance,,,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,Plimpton 372 1544  T11,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,reformatted digital,Valentin Babst,3036072,,,No Copyright - United States,rightsstatements,https://rightsstatements.org/page/NoC-US/1.0/?language=en,circa 1544,1544,TRUE,,approximate,Leipzig (Germany),,"La Place, Pierre de, 1520?-1572",http://id.loc.gov/authorities/names/n98028584,naf,personal,TRUE,Contributor,http://id.loc.gov/vocabulary/relators/ctb,marcrelator,,,,,,,,,,,,,,,,,,,,,,
