_pid,_project.string_key,_digital_object_type.string_key,_parent_digital_objects-1.identifier,_identifiers-1,collection-1:collection_term.value,collection-1:collection_term.uri,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,form-3:form_term.value,form-3:form_term.authority,form-3:form_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,title-1:title_sort_portion,title-2:title_sort_portion,title2_type,digital_origin-1:digital_origin_value,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,language_of_cataloging-1:language_of_cataloging_term.value,location-1:location_sublocation,place_of_origin-1:place_of_origin_value,note-1:note_value,note-1:note_type,place_of_origin-2:place_of_origin_value,location-1:location_shelf_location-1:location_shelf_location_box_number,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_term.name_type,name-4:name_role-1:name_role_term.value,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_term.authority,name-4:name_term.uri,abstract-1:abstract_value,abstract-2:abstract_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,publisher-1:publisher_value,publisher-2:publisher_value,type_of_resource-1:type_of_resource_value,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,note-4:note_value,note-4:note_type,note-5:note_value,note-5:note_type,note-6:note_value,note-6:note_type,note-7:note_value,note-7:note_type,note-8:note_value,note-8:note_type,note-9:note_value,note-9:note_type,note-10:note_value,note-10:note_type,note-11:note_value,note-11:note_type,note-12:note_value,note-12:note_type,note-13:note_value,note-13:note_type,note-14:note_value,note-14:note_type,note-15:note_value,note-15:note_type,note-16:note_value,note-16:note_type,note-17:note_value,note-17:note_type,note-18:note_value,note-18:note_type,note-19:note_value,note-19:note_type,note-20:note_value,note-20:note_type,relatedItem_Project,project URL,object_in_context_url-1:object_in_context_url_value,object_in_context_url-2:object_in_context_url_value,object_in_context_url-3:object_in_context_url_value
,,item,,meltingpot_crg,Community Service Society records,,,,photographs,,,,,,,,,1905,,questionable,circa 1905,49 Pitt Street between Delancey and Rivington Streets,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,,,,"Box 296, photo #327",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School children,,,,,,,,,"Lower East Side (New York, N.Y.)",,,New York (N.Y.),,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_crg,meltingpot_crg_000,,,omeka_830,,,,,,,,,,,,,,,49 Pitt Street between Delancey and Rivington Streets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 6_03_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/children/street-scenes,,
,,item,,meltingpot_cui,Mirra Ginsburg papers,,,,correspondence,,,,,,,,,1968-05-12,,,"May 12, 1968",Letter from Mirra Ginsburg to Elena Sergeevna Bulgakova,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,Russia,,,,,,"Ginsburg, Mirra",,,,,,"Bulgakova, E. S. (Elena Sergeevna)",,,,,,,,,,,,,,,,,,,,,Mirra Ginsburg in her letter to Elena Bulgakova expresses her admiration for Mikhail Bulgakov’s writings and describes the situation with regard to the translation and publication of his works in English.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Barbara Frenchi, 2002",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_cui,meltingpot_cui_001,,,omeka_699,,,,,,,,,,,,,,,"Two pages, front and back",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 3_10_02.jpg,filename,original filename: 3_10_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/writers/ginsburg_fatal_eggs,,
,,item,,meltingpot_cut,Mirra Ginsburg papers,,,,postcards,,,,,,,,,1912,,,1912,Yasha - a Jewish soldier from Bukhara,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,Bukhoro (Uzbekistan),,,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Postcard with photograph of young man in soldier's suit; back of postcard has writing in English and Russian.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_cut,meltingpot_cut_001,,,omeka_481,,,,,,,,,,,,,,,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1_03_01.jpg,filename,original filename: 1_03_02.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/background/army,,
,,item,,meltingpot_txy,Mirra Ginsburg papers,,,,manuscripts,,,,,,,,,1973-11-03,,,"November 3, 1973",Talk at American Translators Association Conference,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,,,,,,English,,,,,,"Ginsburg, Mirra",,,,,,,,,,,,,,,,,,,,,,,,,,,The second page of Mirra Ginsburg's talk for the 1973 ATA (American Translators Association) Conference,,American Translators Association. Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Barbara Frenchi, 2002",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_txy,meltingpot_txy_002,,,omeka_694,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 3_05_03.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/writers/ginsburg_ata,,
,,item,,meltingpot_ejj,,,,,books,,,,,,,,,1960-03-10,,,"March 10, 1960",Some of these days: the Autobiography of Sophie Tucker,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,,,,,English,,,,,,"Tucker, Sophie, 1884-1966",,,,,,,,,,,,,,,,,,,,,,,,,,,"Frontispiece included inscription by Sophie Tucker to Mary Nelson, signed March 10, 1960",,"Tucker, Sophie, 1884-1966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_ejj,meltingpot_ejj_001,,,omeka_735,,,,,,,,,,,,,,,Cover and frontispiece with inscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 4_09_02.jpg,filename,original filename: 4_09_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/entertainers/tucker,,
,,asset,meltingpot_aje,meltingpot_aje_099,,,omeka_759,,,,,,,,,,,,,,,Penultimate page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 4_21_02.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,item,,meltingpot_ezs,Zosa Szajkowski Collection,,,,periodicals,,,,,,,,,1880,1910,inferred,Between 1880 and 1910,"Shlang, Second issue",,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,,,,Berdychiv (Ukraine),,Yiddish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Second issue of the satirical Yiddish journal Der Shlang (The Snake) published in the small Ukrainian shtetl of Berdichev (cover page, pages 15-16, and back page are on display)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_ezs,meltingpot_ezs_001,,,omeka_478,,,,,,,,,,,,,,,"Cover page, pages 15-16, and back page",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1_12_01.jpg,filename,original filename: 1_12_02.jpg,filename,original filename: 1_12_03.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/background/introduction,,
,,item,,meltingpot_fas,Boris Sapir papers,,,,correspondence,,,,,,,,,1941,,inferred,1941,Invitation to celebration of the first anniversary of the publication of Sotsialisticheskii Vestnik,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,Russia,,,,,,"Abramovitch, Raphael R., 1880-",,,,,,Rossiĭskai︠a︡ sot︠s︡ial-demokraticheskai︠a︡ rabochai︠a︡ partii︠a︡,,,,,,,,,,,,,,,,,,,,,"Invitation to the reception celebrating the first anniversary of the publication of the Men'shevik newspaper, Sotsialisticheskii Vestnik, in New York.

Moving from Europe to the USA, the Mensheviks continued to publish their newspaper Sotsialisticheskii Vestnik in New York (until the late 1960s). 

The invitation signed by the Organization Committee.",,Sotsialisticheskii Vestnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Dr. Sapir's family, 1990",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_fas,meltingpot_fas_000,,,omeka_516,,,,,,,,,,,,,,,Invitation to celebration of the first anniversary of the publication of Sotsialisticheskii Vestnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 2_11_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/fighters/rsdrp,,
,,item,,meltingpot_yeq,Simon Lissim Papers,,,,manuscripts,,,,,,,,,1960,1981,inferred,between 1960 and 1981,Kiev to New York,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,,,,,,English,,,,,,"Lissim, Simon, 1900-1981",,,,,,,,,,,,,,,,,,,,,,,,,,,Manuscript of Simon Lissim's memoir entitled Kiev to New York.,,"Lissim, Simon, 1900-1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_yeq,meltingpot_yeq_021,,,omeka_770,,,,,,,,,,,,,,,Page 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 5_02_06.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/memoirs,,
,,item,,meltingpot_ffa,Simon Lissim Papers,,,,printed ephemera,,,,,,,,,1941-09-19,1941-10-03,,"September 19 to October 3, 1941",Invitation to the Simon Lissim Exhibit in New York,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,English,,,,,,"Lissim, Simon, 1900-1981",,,,,,,,,,,,,,,,,,,,,,,,,,,"Exhibition of ""Simon Lissim's exquisite designs on Lenox vases and platters"".

Held at Georg Jensen Inc., Fifth Avenue at 53rd Street, New York City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_ffa,meltingpot_ffa_002,,,omeka_802,,,,,,,,,,,,,,,Inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 5_23_02.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/invitations,,
,,item,,meltingpot_fgy,Simon Lissim Papers,,,,printed ephemera,,,,,,,,,1924,,,1924,1924 Salon d'Automne Carte d'Exposant,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,Paris (France),,,,,French,,,,,,Salon d’automne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salon d’automne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_fgy,meltingpot_fgy_000,,,omeka_776,,,,,,,,,,,,,,,1924 Salon d'Automne Carte d'Exposant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 5_05_02.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/ids,,
,,item,,meltingpot_fjm,Mirra Ginsburg papers,,,,manuscripts,,,,,,,,,1980,1990,inferred,between 1980 and 1990,Mirra Ginsburg's Autobiography,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,New York (N.Y.),,,,,English,,,,,,"Ginsburg, Mirra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ginsburg, Mirra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Barbara Frenchi, 2002",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_fjm,meltingpot_fjm_001,,,omeka_691,,,,,,,,,,,,,,,First page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 3_04_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/writers/ginsburg_autobiography,,
,,asset,meltingpot_yeq,meltingpot_yeq_020,,,omeka_769,,,,,,,,,,,,,,,Page 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 5_02_05.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/memoirs,,
,,item,,meltingpot_fqn,Richard L. Simon papers,,,,correspondence,,,,,,,,,1940-02-14,,,"February 14, 1940",Letter from Richard Simon to Irving Berlin,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,New York (N.Y.),,,,,English,,,,,,"Simon, Richard L. (Richard Leo), 1899-1960",,,,,,"Berlin, Irving, 1888-1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Mrs. Richard L. Simon, 1982",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_fqn,meltingpot_fqn_000,,,omeka_743,,,,,,,,,,,,,,,Letter from Richard Simon to Irving Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 4_12_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/entertainers/berlin_astaire,,
,,item,,meltingpot_ftt,Hunt-Berol Sheet Music Collection,,,,music,,,,,,,,,1932,,,1932,God Bless America,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,,,New York (N.Y.),,English,,,,,,"Berlin, Irving, 1888-1989",,,,,,,,,,,,,,,,,,,,,,,,,,,Sheet music of the American “unofficial national anthem.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irving Berlin Inc.,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Mr. and Mrs. Alfred C. Berol, 1964 & 1966",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_ftt,meltingpot_ftt_001,,,omeka_738,,,,,,,,,,,,,,,Cover and 5 pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 4_11_05.jpg,filename,original filename: 4_11_04.jpg,filename,original filename: 4_11_02.jpg,filename,original filename: 4_11_03.jpg,filename,original filename: 4_11_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/entertainers/berlin_astaire,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/entertainers/introduction,
,,item,,meltingpot_fyi,Simon Lissim Papers,,,,printed ephemera,,,,,,,,,1924,,,1924,Société des Artistes Décorateurs : Carte de Sociétaire,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,Paris (France),,,,,French,,,,,,Société des artistes décorateurs (France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Société des artistes décorateurs (France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donated by Simon Lissim, 1981 and Dorothea Waples Lissim, 1982",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_fyi,meltingpot_fyi_001,,,omeka_782,,,,,,,,,,,,,,,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 5_08_02.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/artists/artshow,,
,,item,,meltingpot_fza,Brander Matthews Dramatic Museum records,,,,photographs,,,,,,,,,1935,,,1935,Irving Berlin at piano and Fred Astaire with accordion,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,United States,,,,,English,,,,,,RKO Radio Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berlin, Irving, 1888-1989",,,,"Astaire, Fred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_fza,meltingpot_fza_000,,,omeka_737,,,,,,,,,,,,,,,Irving Berlin at piano and Fred Astaire with accordion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 4_10_01.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/entertainers/berlin_astaire,,
,,item,,meltingpot_gbi,Boris Sapir papers,,,,manuscripts,,,,,,,,,1900,1968,inferred,between 1900 and 1968,Evr. obshchina v Rossii,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,,,,,,Russia,,,,,,"Aronson, Gregor, 1887-1968",,,,,,,,,,,,,,,,,,,,,,,,,,,"Manuscript by Grigorii Aronson (1887-1968), a prominent member of the Russian Social Democratic Labor Party (Mensheviks) and journalist. Emigrated to USA and lived in New York.",,Evreĭskai︠a︡ obshchina v Rossii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Dr. Sapir's family, 1990",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_gbi,meltingpot_gbi_002,,,omeka_4180,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1_01_02.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/background/background,,
,,item,,meltingpot_gcb,Mirra Ginsburg papers,,,,correspondence,,,,,,,,,1965-07-12,,,"July 12, 1965",Letter from Isaac B. Singer to Mirra Ginsburg,,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,Bakhmeteff Archive of Russian and East European History and Culture,Athens (Ohio),,,,,English,,,,,,"Singer, Isaac Bashevis, 1904-1991",,,,,,"Ginsburg, Mirra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gift of Barbara Frenchi, 2002",ownership,,,,,,,still image,original_format,Melting Pot: Russian Jewish New York,http://www.columbia.edu/cgi-bin/cul/resolve?clio8012143,,,
,,asset,meltingpot_gcb,meltingpot_gcb_001,,,omeka_718,,,,,,,,,,,,,,,Two page letter and envelope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 3_16_01.jpg,filename,original filename: 3_16_02.jpg,filename,original filename: 3_16_03.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/melting-pot/writers/ibsinger,,
